time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
5, 1, 823, 823, 1, 1, true, true
5, 2, 1141, 539, 2, 2, true, true
6, 3, 1181, 359, 3, 3, true, true
7, 4, 1776, 816, 4, 4, true, true
8, 5, 1821, 322, 5, 5, true, true
9, 6, 1826, 326, 6, 6, true, true
11, 7, 2585, 889, 7, 7, true, true
12, 8, 2595, 887, 7, 6, true, true
13, 9, 2601, 893, 8, 6, true, true
14, 10, 2669, 918, 9, 7, true, true
15, 11, 2671, 912, 10, 7, true, true
17, 12, 2674, 914, 10, 8, true, true
18, 13, 2705, 934, 11, 7, true, true
19, 14, 2715, 944, 12, 8, true, true
20, 15, 2715, 943, 12, 10, true, true
23, 17, 2715, 941, 12, 13, true, true
24, 19, 2734, 957, 13, 15, true, true
25, 20, 2744, 957, 14, 16, true, true
27, 21, 2746, 957, 15, 17, true, true
28, 22, 2746, 955, 14, 18, true, true
29, 23, 2747, 956, 15, 18, true, true
30, 24, 2748, 957, 16, 18, true, true
34, 26, 2749, 209, 16, 18, true, true
35, 27, 2752, 212, 17, 18, true, true
37, 28, 2758, 215, 17, 18, true, true
38, 29, 2758, 214, 16, 20, true, true
40, 30, 2759, 208, 16, 19, true, true
41, 31, 2767, 211, 17, 19, true, true
42, 32, 2769, 212, 18, 18, true, true
44, 33, 2770, 213, 19, 19, true, true
47, 35, 2770, 212, 18, 21, true, true
49, 36, 2772, 212, 19, 20, true, true
50, 37, 2772, 210, 18, 21, true, true
54, 39, 2780, 212, 19, 23, true, true
57, 40, 2780, 211, 18, 24, true, true
59, 41, 2783, 212, 19, 25, true, true
60, 42, 2784, 209, 19, 23, true, true
64, 44, 2785, 210, 20, 22, true, true
65, 45, 2802, 227, 21, 23, true, true
68, 47, 2804, 229, 22, 24, true, true
70, 48, 2804, 227, 22, 25, true, true
72, 49, 2812, 217, 23, 25, true, true
77, 52, 2818, 219, 23, 21, true, true
78, 53, 2818, 214, 23, 23, true, true
79, 54, 2820, 214, 24, 22, true, true
82, 56, 2825, 219, 25, 23, true, true
84, 57, 2826, 151, 25, 22, true, true
88, 60, 2826, 149, 23, 25, true, true
94, 65, 2828, 151, 24, 30, true, true
96, 66, 2834, 157, 25, 29, true, true
97, 67, 2836, 159, 26, 24, true, true
99, 68, 2836, 141, 25, 25, true, true
107, 73, 2836, 140, 24, 25, true, true
110, 75, 2837, 141, 25, 25, true, true
112, 76, 2837, 140, 24, 27, true, true
120, 80, 2838, 141, 25, 27, true, true
122, 81, 2861, 160, 26, 26, true, true
132, 88, 2862, 160, 26, 29, true, true
133, 89, 2863, 161, 27, 29, true, true
135, 90, 2863, 160, 26, 29, true, true
137, 91, 2863, 159, 25, 30, true, true
142, 96, 2864, 160, 26, 32, true, true
143, 97, 2869, 165, 27, 32, true, true
146, 99, 2870, 165, 27, 33, true, true
148, 101, 2872, 163, 27, 33, true, true
154, 103, 2872, 162, 27, 33, true, true
155, 104, 2875, 165, 28, 30, true, true
157, 105, 2877, 165, 28, 29, true, true
159, 106, 2878, 165, 29, 28, true, true
160, 107, 2881, 167, 30, 28, true, true
167, 110, 2882, 168, 31, 30, true, true
171, 112, 2883, 153, 32, 30, true, true
180, 118, 2885, 152, 32, 32, true, true
182, 119, 2887, 154, 33, 33, true, true
184, 120, 2887, 151, 32, 33, true, true
186, 121, 2890, 154, 33, 32, true, true
189, 122, 2923, 187, 34, 30, true, true
200, 127, 2927, 191, 35, 33, true, true
203, 129, 2942, 203, 36, 31, true, true
205, 130, 2942, 202, 35, 31, true, true
218, 136, 2944, 204, 36, 33, true, true
230, 144, 2944, 203, 35, 38, true, true
235, 148, 2945, 203, 36, 37, true, true
240, 150, 2946, 204, 37, 39, true, true
243, 151, 2947, 205, 38, 36, true, true
245, 152, 2949, 206, 39, 33, true, true
252, 156, 2949, 205, 38, 34, true, true
259, 159, 2949, 200, 38, 35, true, true
269, 163, 2951, 188, 38, 37, true, true
273, 165, 2954, 191, 39, 36, true, true
288, 173, 2955, 192, 40, 37, true, true
290, 174, 2955, 159, 39, 37, true, true
301, 178, 2955, 158, 39, 40, true, true
311, 182, 2956, 159, 40, 36, true, true
318, 184, 2957, 160, 41, 36, true, true
321, 186, 2969, 171, 42, 37, true, true
325, 187, 2969, 168, 41, 37, true, true
329, 189, 2976, 170, 42, 37, true, true
342, 194, 2977, 171, 43, 39, true, true
344, 195, 2977, 170, 43, 41, true, true
346, 196, 2977, 169, 43, 41, true, true
356, 200, 2978, 168, 44, 41, true, true
376, 209, 2978, 165, 43, 43, true, true
389, 214, 2982, 169, 44, 45, true, true
392, 216, 2985, 171, 44, 45, true, true
395, 218, 2988, 160, 43, 45, true, true
397, 219, 2990, 161, 43, 45, true, true
401, 221, 2992, 163, 44, 43, true, true
415, 226, 2993, 164, 45, 44, true, true
417, 227, 2994, 164, 46, 42, true, true
422, 230, 2997, 165, 46, 43, true, true
436, 237, 2998, 166, 47, 45, true, true
453, 244, 2998, 164, 47, 47, true, true
456, 245, 3005, 140, 47, 45, true, true
463, 248, 3006, 138, 48, 46, true, true
471, 251, 3006, 137, 47, 47, true, true
474, 252, 3007, 138, 48, 44, true, true
486, 258, 3058, 189, 49, 44, true, true
512, 269, 3060, 180, 49, 43, true, true
516, 271, 3063, 181, 50, 43, true, true
528, 277, 3063, 180, 49, 44, true, true
532, 279, 3065, 182, 50, 44, true, true
548, 285, 3065, 180, 49, 44, true, true
554, 287, 3066, 181, 50, 43, true, true
585, 298, 3067, 181, 51, 47, true, true
588, 299, 3067, 180, 50, 47, true, true
607, 308, 3068, 181, 51, 50, true, true
624, 316, 3068, 180, 50, 52, true, true
628, 317, 3068, 179, 50, 52, true, true
632, 319, 3068, 178, 49, 52, true, true
639, 321, 3068, 177, 48, 53, true, true
642, 322, 3068, 176, 47, 53, true, true
645, 323, 3068, 174, 46, 54, true, true
649, 325, 3147, 252, 47, 53, true, true
652, 326, 3147, 251, 46, 54, true, true
670, 331, 3149, 249, 46, 53, true, true
674, 332, 3149, 248, 45, 54, true, true
684, 337, 3149, 247, 44, 55, true, true
693, 339, 3156, 248, 45, 54, true, true
707, 344, 3157, 249, 46, 52, true, true
725, 350, 3158, 250, 47, 52, true, true
738, 353, 3159, 251, 48, 52, true, true
741, 354, 3161, 253, 49, 51, true, true
765, 360, 3161, 252, 48, 52, true, true
782, 364, 3161, 251, 47, 53, true, true
792, 367, 3165, 251, 47, 53, true, true
799, 369, 3167, 253, 48, 51, true, true
804, 370, 3168, 253, 49, 50, true, true
819, 376, 3169, 252, 49, 50, true, true
837, 381, 3169, 251, 48, 51, true, true
847, 384, 3170, 252, 49, 50, true, true
852, 386, 3171, 253, 50, 50, true, true
859, 389, 3171, 252, 49, 51, true, true
863, 390, 3174, 253, 50, 50, true, true
879, 393, 3211, 281, 50, 48, true, true
889, 395, 3211, 280, 49, 49, true, true
896, 396, 3211, 275, 49, 49, true, true
928, 406, 3214, 276, 50, 51, true, true
959, 415, 3218, 278, 50, 54, true, true
969, 416, 3218, 277, 49, 54, true, true
988, 420, 3219, 278, 50, 54, true, true
994, 421, 3221, 280, 51, 51, true, true
1027, 426, 3222, 281, 52, 52, true, true
1048, 431, 3223, 282, 53, 52, true, true
1060, 433, 3225, 284, 54, 50, true, true
1073, 437, 3226, 225, 55, 48, true, true
1107, 443, 3238, 228, 53, 47, true, true
1119, 446, 3247, 237, 54, 48, true, true
1138, 453, 3249, 239, 55, 50, true, true
1144, 455, 3249, 237, 53, 51, true, true
1161, 459, 3249, 236, 52, 53, true, true
1209, 474, 3251, 236, 52, 56, true, true
1279, 491, 3252, 237, 53, 58, true, true
1292, 494, 3252, 236, 52, 59, true, true
1296, 495, 3299, 257, 53, 59, true, true
1300, 496, 3300, 258, 54, 57, true, true
1314, 498, 3308, 251, 55, 54, true, true
1351, 506, 3309, 245, 56, 55, true, true
1373, 513, 3309, 241, 55, 56, true, true
1436, 530, 3311, 243, 56, 54, true, true
1451, 532, 3311, 242, 55, 54, true, true
1476, 537, 3312, 242, 56, 50, true, true
1485, 540, 3315, 245, 57, 49, true, true
1532, 554, 3316, 245, 58, 50, true, true
1535, 555, 3317, 246, 59, 48, true, true
1586, 566, 3317, 236, 58, 50, true, true
1662, 578, 3317, 235, 57, 52, true, true
1689, 582, 3317, 228, 57, 52, true, true
1710, 587, 3320, 231, 58, 48, true, true
1749, 593, 3320, 230, 57, 50, true, true
1763, 596, 3325, 235, 58, 48, true, true
1778, 600, 3325, 233, 56, 48, true, true
1795, 603, 3325, 229, 56, 48, true, true
1799, 604, 3325, 228, 55, 48, true, true
1814, 606, 3326, 229, 56, 47, true, true
1865, 614, 3328, 231, 57, 46, true, true
1880, 617, 3329, 232, 58, 43, true, true
1916, 623, 3329, 231, 57, 44, true, true
1922, 624, 3329, 230, 56, 44, true, true
2034, 645, 3329, 228, 54, 46, true, true
2106, 657, 3329, 226, 53, 49, true, true
