time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
1, 1, 714, 714, 1, 1, true, true
2, 2, 715, 432, 2, 0, true, true
2, 3, 715, 431, 1, 1, true, true
3, 6, 723, 37, 2, 1, true, true
4, 7, 726, 35, 3, 1, true, true
5, 13, 731, 36, 4, 4, true, true
6, 15, 735, 33, 5, 4, true, true
7, 18, 735, 32, 5, 8, true, true
8, 21, 744, 39, 6, 8, true, true
9, 22, 744, 37, 6, 8, true, true
9, 23, 747, 40, 7, 6, true, true
10, 25, 747, 37, 6, 7, true, true
11, 28, 748, 38, 7, 4, true, true
12, 30, 749, 39, 8, 4, true, true
13, 31, 749, 36, 7, 4, true, true
13, 32, 750, 37, 8, 3, true, true
14, 33, 750, 36, 7, 3, true, true
14, 34, 751, 31, 8, 3, true, true
20, 47, 752, 32, 9, 5, true, true
25, 58, 753, 33, 10, 10, true, true
30, 68, 754, 34, 11, 10, true, true
30, 69, 782, 62, 12, 10, true, true
32, 71, 782, 61, 11, 11, true, true
36, 82, 783, 62, 12, 12, true, true
37, 83, 786, 65, 13, 11, true, true
39, 86, 786, 64, 12, 11, true, true
43, 94, 786, 63, 11, 11, true, true
44, 95, 787, 64, 12, 10, true, true
46, 97, 787, 63, 11, 10, true, true
52, 108, 789, 65, 12, 10, true, true
54, 110, 792, 68, 13, 9, true, true
55, 112, 854, 121, 14, 8, true, true
57, 114, 856, 121, 14, 8, true, true
58, 115, 856, 120, 13, 8, true, true
63, 122, 858, 121, 14, 8, true, true
68, 128, 859, 122, 15, 7, true, true
76, 138, 859, 121, 15, 7, true, true
77, 139, 922, 181, 16, 6, true, true
87, 153, 924, 157, 16, 8, true, true
95, 164, 925, 158, 17, 10, true, true
107, 178, 925, 157, 16, 13, true, true
124, 203, 931, 162, 17, 12, true, true
140, 225, 932, 161, 17, 17, true, true
142, 228, 932, 160, 16, 17, true, true
148, 238, 932, 155, 16, 18, true, true
156, 257, 932, 153, 15, 21, true, true
157, 258, 932, 152, 15, 21, true, true
162, 267, 932, 151, 14, 24, true, true
170, 283, 933, 152, 15, 24, true, true
170, 284, 934, 153, 16, 21, true, true
181, 298, 935, 153, 16, 19, true, true
184, 304, 935, 152, 16, 19, true, true
190, 315, 936, 153, 17, 18, true, true
191, 318, 936, 152, 16, 19, true, true
194, 322, 938, 154, 17, 19, true, true
195, 323, 938, 147, 17, 19, true, true
195, 324, 939, 147, 17, 15, true, true
203, 337, 939, 146, 16, 16, true, true
209, 347, 939, 145, 15, 17, true, true
210, 348, 940, 146, 16, 14, true, true
224, 369, 940, 140, 15, 16, true, true
251, 411, 956, 150, 15, 17, true, true
255, 418, 956, 149, 14, 17, true, true
257, 421, 956, 148, 13, 17, true, true
261, 427, 956, 146, 12, 17, true, true
263, 429, 956, 145, 11, 17, true, true
264, 430, 959, 96, 12, 15, true, true
266, 432, 959, 94, 11, 15, true, true
270, 437, 969, 98, 11, 12, true, true
293, 464, 985, 114, 12, 14, true, true
312, 485, 985, 113, 11, 18, true, true
316, 491, 987, 113, 12, 17, true, true
318, 494, 988, 114, 13, 16, true, true
320, 496, 989, 115, 14, 11, true, true
327, 503, 989, 56, 14, 13, true, true
341, 517, 990, 57, 15, 12, true, true
344, 520, 990, 56, 14, 12, true, true
355, 533, 991, 57, 15, 11, true, true
378, 555, 991, 47, 14, 12, true, true
412, 593, 991, 46, 13, 14, true, true
490, 654, 991, 45, 12, 17, true, true
495, 659, 991, 44, 11, 17, true, true
544, 725, 991, 28, 10, 17, true, true
547, 729, 992, 29, 11, 17, true, true
583, 777, 995, 30, 12, 19, true, true
608, 808, 995, 29, 11, 20, true, true
668, 892, 996, 30, 12, 25, true, true
670, 896, 996, 29, 11, 25, true, true
698, 935, 1009, 42, 12, 28, true, true
702, 942, 1015, 48, 13, 27, true, true
708, 951, 1017, 50, 14, 26, true, true
714, 960, 1018, 51, 15, 22, true, true
737, 995, 1020, 51, 15, 21, true, true
739, 997, 1021, 51, 16, 19, true, true
