time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
27416, 1, 593, 593, 1, 1, true, true
27417, 2, 621, 505, 2, 2, true, true
27783, 3, 624, 485, 3, 3, true, true
27784, 4, 631, 437, 4, 4, true, true
27786, 5, 931, 554, 4, 5, true, true
27787, 6, 940, 562, 4, 6, true, true
27787, 7, 941, 563, 5, 7, true, true
27788, 8, 942, 563, 6, 7, true, true
27789, 9, 943, 562, 7, 8, true, true
27790, 10, 944, 563, 8, 9, true, true
27792, 11, 950, 288, 9, 10, true, true
27793, 12, 961, 290, 10, 11, true, true
27794, 13, 963, 292, 11, 12, true, true
27794, 14, 977, 303, 12, 13, true, true
27795, 15, 977, 302, 11, 15, true, true
27796, 16, 980, 300, 12, 15, true, true
27797, 17, 1159, 426, 13, 16, true, true
27799, 18, 1256, 452, 14, 17, true, true
27800, 19, 1277, 428, 15, 17, true, true
27801, 20, 1278, 429, 16, 17, true, true
27802, 21, 1279, 429, 17, 16, true, true
27804, 22, 1285, 433, 16, 17, true, true
27805, 23, 1289, 393, 17, 16, true, true
27807, 24, 1358, 454, 17, 16, true, true
27808, 25, 1359, 455, 18, 16, true, true
27809, 26, 1360, 456, 19, 16, true, true
27811, 27, 1409, 458, 19, 15, true, true
27812, 28, 1410, 457, 20, 15, true, true
27814, 29, 1414, 457, 21, 16, true, true
27815, 30, 1414, 455, 20, 16, true, true
27816, 31, 1421, 461, 21, 15, true, true
27818, 32, 1422, 462, 22, 16, true, true
27819, 33, 1445, 457, 23, 17, true, true
27820, 34, 1445, 456, 22, 18, true, true
27822, 35, 1446, 453, 23, 19, true, true
27824, 36, 1456, 460, 23, 18, true, true
27826, 37, 1457, 426, 24, 19, true, true
27829, 38, 1457, 415, 24, 20, true, true
27831, 40, 1458, 416, 25, 21, true, true
27832, 41, 1458, 414, 25, 22, true, true
27835, 43, 1459, 407, 26, 23, true, true
27841, 44, 1479, 422, 27, 22, true, true
27845, 48, 1482, 396, 28, 23, true, true
27861, 49, 1482, 395, 27, 24, true, true
27863, 50, 1558, 459, 26, 23, true, true
27865, 52, 1559, 459, 26, 22, true, true
27866, 54, 1559, 458, 25, 23, true, true
27868, 56, 1559, 457, 24, 25, true, true
27869, 57, 1576, 459, 25, 24, true, true
27870, 58, 1593, 473, 24, 23, true, true
27873, 61, 1593, 472, 24, 28, true, true
28053, 62, 1598, 473, 25, 26, true, true
28056, 63, 1600, 411, 26, 25, true, true
28058, 64, 1601, 412, 27, 24, true, true
