time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
3, 1, 1071, 1071, 1, 1, true, true
4, 2, 1075, 16, 2, 1, true, true
5, 3, 1076, 9, 3, 2, true, true
6, 4, 1076, 8, 3, 3, true, true
6, 5, 1077, 9, 4, 3, true, true
7, 6, 1079, 10, 4, 4, true, true
8, 8, 1082, 12, 5, 3, true, true
10, 10, 1086, 12, 5, 2, true, true
11, 11, 1087, 8, 4, 1, true, true
11, 12, 1088, 7, 4, 0, true, true
12, 13, 1088, 6, 3, 1, true, true
19, 25, 1090, 8, 4, 9, true, true
22, 30, 1090, 7, 4, 10, true, true
27, 31, 1090, 5, 3, 10, true, true
28, 32, 1091, 5, 3, 8, true, true
30, 36, 1092, 6, 4, 7, true, true
32, 37, 1094, 4, 3, 6, true, true
32, 38, 1095, 5, 4, 4, true, true
48, 44, 1096, 5, 4, 3, true, true
53, 48, 1097, 6, 5, 0, true, true
55, 50, 1097, 5, 4, 0, true, true
82, 76, 1097, 4, 3, 0, true, true
85, 79, 1097, 3, 3, 0, true, true
150, 166, 1109, 15, 4, 7, true, true
151, 167, 1109, 14, 3, 7, true, true
152, 168, 1110, 15, 4, 4, true, true
163, 186, 1113, 7, 5, 3, true, true
173, 197, 1113, 6, 4, 4, true, true
190, 218, 1113, 5, 3, 7, true, true
214, 249, 1114, 6, 4, 7, true, true
218, 254, 1114, 5, 3, 7, true, true
357, 317, 1115, 6, 4, 10, true, true
377, 339, 1115, 5, 3, 16, true, true
423, 391, 1118, 8, 4, 19, true, true
434, 402, 1119, 9, 5, 19, true, true
446, 413, 1120, 10, 6, 15, true, true
467, 434, 1120, 9, 5, 16, true, true
494, 452, 1120, 8, 4, 17, true, true
558, 529, 1121, 9, 5, 15, true, true
602, 583, 1121, 8, 4, 17, true, true
609, 591, 1122, 9, 5, 16, true, true
619, 598, 3971, 2854, 4, 11, true, true
664, 640, 3971, 2853, 4, 11, true, true
701, 660, 5431, 1586, 5, 6, true, true
705, 661, 5431, 1585, 5, 6, true, true
735, 677, 5432, 1586, 6, 2, true, true
801, 715, 5432, 1585, 5, 3, true, true
1089, 943, 5831, 1866, 6, 7, true, true
1171, 1027, 5831, 1863, 5, 8, true, true
1261, 1117, 5831, 1861, 5, 9, true, true
1537, 1344, 5864, 543, 6, 15, true, true
1579, 1391, 5889, 527, 7, 14, true, true
1629, 1431, 5996, 586, 8, 13, true, true
1679, 1496, 6001, 570, 9, 10, true, true
1691, 1509, 6003, 572, 10, 6, true, true
1724, 1546, 6004, 571, 10, 4, true, true
2179, 1867, 6006, 573, 11, 8, true, true
2253, 1945, 6006, 571, 11, 8, true, true
2485, 2158, 6008, 468, 12, 10, true, true
2631, 2274, 6009, 469, 13, 6, true, true
2649, 2277, 6009, 467, 11, 6, true, true
2739, 2353, 6009, 465, 10, 6, true, true
2891, 2488, 6009, 464, 9, 7, true, true
3559, 3056, 6009, 133, 8, 14, true, true
3814, 3304, 6009, 132, 7, 16, true, true
4000, 3484, 6011, 133, 8, 17, true, true
4007, 3485, 6015, 135, 9, 16, true, true
4028, 3497, 6016, 136, 10, 16, true, true
4181, 3600, 6019, 139, 11, 16, true, true
4252, 3649, 6019, 138, 11, 16, true, true
4421, 3761, 6019, 137, 10, 16, true, true
4608, 3870, 6019, 135, 9, 16, true, true
4831, 3995, 6021, 131, 8, 16, true, true
5167, 4123, 6022, 132, 9, 15, true, true
6176, 4875, 6192, 269, 9, 15, true, true
6732, 5337, 6198, 275, 10, 18, true, true
