subject,node_select,index,total_edges,execs_per_sec,execs_done,container_name,filename,start_time,last_update,run_time,fuzzer_pid,cycles_done,cycles_wo_finds,time_wo_finds,fuzz_time,calibration_time,cmplog_time,sync_time,trim_time,execs_ps_last_min,corpus_count,corpus_favored,corpus_found,corpus_imported,corpus_variable,max_depth,cur_item,pending_favs,pending_total,stability,bitmap_cvg,saved_crashes,saved_hangs,last_find,last_crash,last_hang,execs_since_crash,exec_timeout,slowest_exec_ms,peak_rss_mb,cpu_affinity,edges_found,var_byte_count,havoc_expansion,auto_dict_entries,testcache_size,testcache_count,testcache_evict,afl_banner,afl_version,target_mode,command_line
jsoncpp,yes,0,5631,2969.03,530436614,upbeat_lehmann,upbeat_lehmann_fuzzer_stats,1740480520,1740659177,178656,11,530436609,530436609,21048,172800,0,0,5856,0,3868.29,1,1,0,0,0,1,1,0,0,100.0,21.75,0,2,1740650019,0,1740482852,530436614,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,1,5631,2953.99,527822746,ecstatic_banach,ecstatic_banach_fuzzer_stats,1740480529,1740659210,178681,11,527822741,527822741,18687,172800,0,0,5881,0,3470.58,1,1,0,0,0,1,1,0,0,100.0,21.79,0,3,1740656308,0,1740482837,527822746,1000,0,0,-1,1227,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,2,5631,2908.95,519482601,keen_driscoll,keen_driscoll_fuzzer_stats,1740480530,1740659111,178580,11,519482596,519482596,14923,172800,0,0,5780,0,3251.74,1,1,0,0,0,1,1,0,0,100.0,21.75,0,3,1740657140,0,1740482822,519482601,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,3,5631,3090.98,553269642,objective_fermat,objective_fermat_fuzzer_stats,1740480532,1740659527,178995,11,553269637,553269637,19732,172800,0,0,6195,0,4418.51,1,1,0,0,0,1,1,0,0,100.0,21.75,0,2,1740656612,0,1740482833,553269642,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,4,5631,3037.28,543318099,sad_gates,sad_gates_fuzzer_stats,1740480533,1740659416,178883,11,543318094,543318094,9899,172800,0,0,6083,0,4170.23,1,1,0,0,0,1,1,0,0,100.0,21.75,0,2,1740656972,0,1740482862,543318099,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,5,5631,2987.23,533936897,flamboyant_dirac,flamboyant_dirac_fuzzer_stats,1740480534,1740659274,178739,11,533936892,533936892,12443,172800,0,0,5939,0,3911.35,1,1,0,0,0,1,1,0,0,100.0,21.75,0,4,1740655567,0,1740482869,533936897,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,6,5631,3082.49,551517877,elastic_taussig,elastic_taussig_fuzzer_stats,1740480536,1740659455,178919,11,551517872,551517872,10052,172800,0,0,6119,0,4273.87,1,1,0,0,0,1,1,0,0,100.0,21.75,0,3,1740653469,0,1740482862,551517877,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,7,5631,2953.94,527734225,hopeful_khorana5,hopeful_khorana5_fuzzer_stats,1740480537,1740659192,178654,11,527734220,527734220,15025,172800,0,0,5854,0,3835.86,1,1,0,0,0,1,1,0,0,100.0,21.75,0,3,1740659182,0,1740482869,527734225,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,8,5631,2840.86,506949710,admiring_shannon,admiring_shannon_fuzzer_stats,1740480539,1740658988,178449,11,506949705,506949705,13491,172800,0,0,5649,0,3216.08,1,1,0,0,0,1,1,0,0,100.0,21.75,0,3,1740651517,0,1740482841,506949710,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,9,5631,2787.73,497312706,keen_bell,keen_bell_fuzzer_stats,1740480540,1740658934,178393,11,497312701,497312701,9149,172800,0,0,5593,0,3166.88,1,1,0,0,0,1,1,0,0,100.0,21.77,0,4,1740650093,0,1740482866,497312706,1000,0,0,-1,1226,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
