time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
7, 1, 698, 698, 1, 1, true, true
8, 2, 796, 146, 2, 2, true, true
8, 3, 1163, 431, 3, 3, true, true
10, 4, 1780, 872, 4, 4, true, true
11, 5, 2578, 1393, 5, 5, true, true
12, 6, 2589, 1377, 6, 6, true, true
13, 7, 2592, 1359, 7, 7, true, true
15, 8, 2593, 839, 8, 8, true, true
17, 9, 2605, 100, 9, 8, true, true
19, 10, 2607, 97, 10, 9, true, true
20, 11, 2609, 84, 10, 10, true, true
22, 12, 2678, 150, 11, 10, true, true
23, 13, 2686, 157, 12, 10, true, true
24, 14, 2690, 161, 13, 11, true, true
25, 15, 2693, 160, 14, 11, true, true
26, 16, 2705, 171, 15, 12, true, true
29, 18, 2707, 171, 15, 11, true, true
31, 19, 2712, 173, 16, 12, true, true
32, 20, 2713, 173, 17, 12, true, true
34, 21, 2720, 180, 18, 12, true, true
35, 22, 2731, 190, 19, 11, true, true
39, 24, 2732, 191, 20, 13, true, true
42, 26, 2733, 189, 19, 15, true, true
43, 27, 2735, 186, 19, 14, true, true
45, 28, 2740, 191, 20, 14, true, true
49, 30, 2741, 190, 21, 15, true, true
50, 31, 2745, 187, 21, 14, true, true
52, 32, 2745, 176, 20, 14, true, true
54, 33, 2745, 175, 20, 16, true, true
57, 34, 2745, 174, 20, 18, true, true
64, 36, 2745, 111, 20, 19, true, true
65, 37, 2746, 111, 21, 17, true, true
67, 38, 2747, 109, 21, 18, true, true
69, 39, 2750, 112, 22, 18, true, true
75, 41, 2750, 111, 21, 21, true, true
79, 43, 2751, 111, 22, 23, true, true
84, 45, 2757, 112, 23, 23, true, true
88, 46, 2757, 111, 22, 23, true, true
90, 47, 2760, 105, 22, 23, true, true
91, 48, 2767, 112, 23, 22, true, true
94, 49, 2767, 110, 22, 24, true, true
96, 50, 2767, 109, 22, 24, true, true
99, 51, 2768, 110, 23, 24, true, true
103, 53, 2771, 106, 24, 26, true, true
107, 55, 2772, 106, 25, 27, true, true
111, 57, 2775, 105, 25, 28, true, true
115, 59, 2775, 102, 24, 28, true, true
117, 60, 2789, 116, 25, 28, true, true
133, 65, 2803, 128, 25, 33, true, true
135, 66, 2807, 131, 26, 31, true, true
140, 68, 2808, 130, 25, 29, true, true
144, 71, 2808, 128, 24, 33, true, true
149, 74, 2810, 130, 25, 33, true, true
151, 75, 2813, 130, 25, 31, true, true
153, 76, 2815, 131, 25, 31, true, true
155, 77, 2815, 126, 24, 33, true, true
158, 78, 2815, 125, 23, 33, true, true
159, 79, 2823, 133, 24, 33, true, true
165, 81, 2823, 131, 24, 35, true, true
169, 83, 2824, 132, 25, 35, true, true
172, 84, 2824, 131, 24, 36, true, true
174, 85, 2830, 137, 25, 34, true, true
176, 86, 2831, 137, 26, 33, true, true
182, 88, 2831, 136, 26, 35, true, true
201, 94, 2832, 137, 27, 37, true, true
205, 95, 2833, 132, 27, 36, true, true
211, 96, 2833, 129, 27, 37, true, true
215, 97, 2834, 130, 28, 36, true, true
220, 98, 2835, 128, 29, 36, true, true
232, 101, 2837, 129, 30, 37, true, true
257, 108, 2838, 130, 31, 40, true, true
259, 109, 2839, 130, 32, 39, true, true
271, 112, 2847, 136, 33, 38, true, true
285, 114, 2849, 138, 34, 39, true, true
309, 120, 2849, 134, 34, 40, true, true
318, 123, 2850, 135, 35, 41, true, true
321, 124, 2860, 139, 36, 42, true, true
323, 125, 2862, 141, 37, 41, true, true
331, 127, 2868, 147, 38, 41, true, true
341, 129, 2869, 148, 39, 42, true, true
343, 130, 2870, 148, 40, 37, true, true
352, 132, 2870, 147, 39, 39, true, true
357, 134, 2902, 178, 39, 39, true, true
362, 136, 2902, 177, 38, 39, true, true
364, 137, 2904, 175, 36, 39, true, true
392, 140, 2905, 176, 37, 39, true, true
413, 142, 2907, 169, 37, 38, true, true
418, 143, 2908, 166, 38, 39, true, true
422, 144, 2915, 173, 39, 40, true, true
477, 151, 2917, 174, 40, 40, true, true
487, 153, 2956, 212, 41, 41, true, true
509, 157, 2958, 204, 41, 40, true, true
514, 158, 2959, 205, 42, 39, true, true
523, 159, 2963, 198, 43, 38, true, true
528, 161, 2979, 211, 44, 37, true, true
560, 167, 3020, 244, 45, 42, true, true
