time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
2, 1, 696, 696, 1, 1, true, true
3, 2, 700, 9, 2, 2, true, true
3, 3, 701, 6, 2, 3, true, true
4, 4, 702, 7, 3, 1, true, true
5, 5, 706, 8, 4, 0, true, true
5, 6, 706, 7, 3, 1, true, true
7, 11, 729, 29, 4, 6, true, true
8, 13, 731, 29, 5, 6, true, true
9, 15, 732, 29, 5, 6, true, true
10, 17, 733, 24, 6, 5, true, true
11, 19, 734, 25, 7, 7, true, true
12, 21, 735, 26, 8, 9, true, true
13, 22, 739, 30, 9, 10, true, true
13, 24, 742, 30, 9, 5, true, true
15, 30, 743, 28, 9, 4, true, true
17, 35, 770, 53, 10, 7, true, true
18, 37, 771, 54, 11, 4, true, true
19, 39, 772, 55, 12, 4, true, true
20, 41, 772, 53, 11, 5, true, true
22, 44, 799, 78, 11, 4, true, true
25, 50, 799, 77, 10, 4, true, true
29, 61, 800, 78, 11, 6, true, true
31, 65, 812, 82, 12, 5, true, true
32, 67, 812, 81, 11, 5, true, true
33, 69, 812, 80, 10, 5, true, true
38, 77, 812, 78, 9, 5, true, true
41, 82, 813, 79, 10, 4, true, true
53, 101, 816, 77, 11, 5, true, true
54, 103, 819, 80, 12, 5, true, true
56, 106, 876, 120, 13, 5, true, true
75, 129, 879, 123, 14, 7, true, true
90, 161, 879, 122, 13, 14, true, true
95, 174, 882, 122, 14, 10, true, true
96, 177, 882, 121, 14, 11, true, true
103, 189, 882, 120, 13, 11, true, true
111, 201, 885, 122, 14, 9, true, true
113, 204, 885, 121, 14, 10, true, true
114, 207, 886, 122, 15, 9, true, true
123, 224, 887, 123, 16, 11, true, true
128, 234, 887, 122, 15, 13, true, true
130, 237, 887, 120, 14, 13, true, true
132, 241, 909, 92, 15, 11, true, true
142, 261, 909, 91, 15, 11, true, true
150, 277, 909, 90, 14, 13, true, true
152, 281, 911, 91, 15, 12, true, true
153, 283, 912, 92, 16, 10, true, true
155, 284, 912, 91, 15, 10, true, true
182, 319, 914, 92, 16, 10, true, true
183, 320, 915, 91, 17, 8, true, true
217, 360, 915, 74, 16, 14, true, true
231, 381, 918, 77, 17, 16, true, true
241, 393, 919, 78, 18, 15, true, true
251, 406, 921, 77, 18, 15, true, true
