time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
1, 1, 513, 513, 1, 1, true, true
58, 2, 557, 407, 2, 2, true, true
59, 3, 561, 383, 3, 3, true, true
59, 4, 743, 232, 4, 4, true, true
61, 5, 762, 250, 5, 5, true, true
61, 6, 766, 249, 6, 6, true, true
61, 7, 768, 251, 7, 6, true, true
62, 8, 830, 184, 8, 6, true, true
62, 9, 837, 190, 9, 6, true, true
63, 10, 1005, 328, 10, 7, true, true
63, 11, 1006, 329, 11, 7, true, true
63, 12, 1006, 328, 10, 8, true, true
64, 13, 1006, 327, 9, 10, true, true
64, 14, 1030, 302, 10, 11, true, true
65, 15, 1030, 301, 9, 13, true, true
65, 16, 1034, 305, 10, 12, true, true
66, 18, 1036, 304, 11, 14, true, true
66, 19, 1036, 302, 10, 15, true, true
67, 20, 1037, 303, 11, 15, true, true
67, 21, 1043, 307, 12, 15, true, true
68, 22, 1044, 307, 13, 16, true, true
68, 23, 1045, 303, 13, 15, true, true
70, 25, 1177, 342, 14, 17, true, true
70, 26, 1177, 341, 13, 18, true, true
71, 27, 1177, 338, 13, 20, true, true
71, 28, 1182, 343, 14, 19, true, true
72, 29, 1219, 263, 14, 19, true, true
73, 30, 1231, 165, 15, 20, true, true
74, 31, 1263, 175, 16, 21, true, true
76, 33, 1296, 193, 17, 22, true, true
77, 34, 1317, 179, 18, 22, true, true
78, 35, 1344, 205, 19, 22, true, true
79, 36, 1347, 208, 20, 22, true, true
79, 37, 1349, 209, 20, 21, true, true
80, 38, 1349, 207, 20, 22, true, true
82, 39, 1351, 194, 21, 21, true, true
85, 40, 1353, 194, 22, 20, true, true
87, 41, 1355, 193, 23, 19, true, true
89, 43, 1367, 181, 24, 19, true, true
91, 45, 1367, 175, 22, 22, true, true
93, 46, 1392, 192, 23, 23, true, true
93, 47, 1393, 193, 24, 24, true, true
94, 48, 1397, 192, 25, 24, true, true
98, 52, 1493, 275, 26, 27, true, true
99, 53, 1493, 270, 26, 29, true, true
100, 54, 1494, 269, 27, 28, true, true
101, 55, 1496, 271, 28, 27, true, true
103, 58, 1606, 362, 29, 29, true, true
103, 59, 1607, 362, 30, 27, true, true
104, 60, 1613, 368, 31, 27, true, true
105, 61, 1617, 372, 32, 28, true, true
108, 62, 1785, 499, 33, 28, true, true
