time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
277, 1, 4, 4, 1, 0, true, true
277, 2, 4, 0, 0, 0, true, true
278, 8, 22, 18, 1, 0, true, true
278, 11, 22, 0, 0, 0, true, true
282, 46, 23, 1, 1, 3, true, true
285, 68, 24, 2, 2, 1, true, true
288, 81, 24, 1, 1, 2, true, true
289, 90, 25, 2, 2, 0, true, true
291, 103, 25, 1, 1, 0, true, true
297, 151, 25, 0, 0, 0, true, true
427, 1108, 26, 1, 1, 2, true, true
437, 1188, 27, 2, 2, 0, true, true
492, 1563, 27, 1, 1, 0, true, true
803, 3735, 27, 0, 0, 0, true, true
2085, 8311, 34, 7, 1, 1, true, true
2196, 9141, 35, 8, 2, 0, true, true
8064, 34168, 35, 7, 1, 3, true, true
8190, 35190, 36, 8, 2, 3, true, true
11110, 46637, 37, 9, 3, 2, true, true
12879, 54746, 38, 10, 4, 1, true, true
16109, 69176, 40, 7, 5, 0, true, true
16324, 70784, 40, 5, 4, 0, true, true
17018, 73467, 40, 4, 3, 1, true, true
32955, 143243, 41, 5, 4, 1, true, true
33807, 146709, 41, 4, 3, 1, true, true
46990, 202613, 42, 5, 4, 0, true, true
54090, 232497, 42, 3, 3, 3, true, true
102561, 435424, 43, 4, 4, 5, true, true
103837, 441439, 43, 3, 3, 5, true, true
106489, 451272, 43, 2, 2, 6, true, true
121009, 511024, 44, 3, 3, 4, true, true
128467, 541816, 44, 2, 2, 4, true, true
151957, 639426, 44, 1, 1, 5, true, true
152792, 642626, 45, 2, 2, 3, true, true
158620, 667732, 46, 3, 3, 2, true, true
176436, 742038, 47, 4, 4, 1, true, true
188889, 794761, 47, 3, 3, 1, true, true
213836, 895467, 47, 2, 2, 1, true, true
263318, 1098751, 48, 3, 3, 0, true, true
425322, 1771425, 48, 2, 2, 0, true, true
688309, 2865547, 48, 1, 1, 0, true, true
779838, 3248113, 48, 0, 0, 1, true, true
1379839, 5706870, 48, 0, 0, 3, true, false
1502667, 6217851, 49, 1, 1, 2, true, true
1858178, 7698588, 50, 2, 2, 1, true, true
2148092, 8904980, 50, 1, 1, 1, true, true
2748093, 11384932, 50, 1, 1, 1, true, false
2902880, 12026023, 51, 2, 2, 0, true, true
6503000, 27215473, 51, 2, 2, 0, true, false
10103001, 42568070, 51, 2, 2, 1, true, false
13703002, 57882896, 51, 2, 2, 2, true, false
15292987, 64703540, 52, 3, 3, 1, true, true
18892988, 80157200, 52, 3, 3, 3, true, false
21159119, 89985249, 55, 6, 4, 2, true, true
31959120, 136799955, 55, 6, 4, 4, true, false
35245695, 151106055, 56, 7, 5, 2, true, true
37215532, 159668872, 57, 6, 6, 1, true, true
39694791, 170474513, 57, 5, 5, 1, true, true
44132308, 189209327, 57, 4, 4, 1, true, true
56708146, 240921394, 341, 288, 5, 0, true, true
58173703, 245881417, 341, 287, 4, 0, true, true
79773704, 320572099, 341, 287, 4, 1, true, false
101373705, 395491966, 341, 287, 4, 1, false, false
122973909, 472755175, 341, 287, 4, 1, false, false
140816433, 530971606, 342, 287, 5, 0, false, true
162416434, 605263336, 342, 287, 5, 0, false, false
