time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
1, 1, 398, 398, 1, 1, true, true
4, 2, 484, 246, 2, 1, true, true
4, 3, 484, 233, 2, 3, true, true
5, 4, 493, 210, 3, 4, true, true
5, 5, 599, 196, 4, 5, true, true
6, 6, 676, 145, 5, 5, true, true
7, 7, 695, 81, 6, 6, true, true
7, 8, 708, 84, 7, 7, true, true
7, 9, 710, 66, 8, 7, true, true
8, 10, 711, 67, 9, 7, true, true
8, 11, 714, 70, 10, 6, true, true
8, 13, 715, 71, 11, 8, true, true
9, 14, 753, 102, 12, 9, true, true
9, 15, 769, 89, 13, 10, true, true
10, 16, 775, 78, 13, 11, true, true
11, 17, 775, 75, 13, 12, true, true
11, 18, 781, 81, 14, 13, true, true
11, 19, 785, 81, 15, 14, true, true
12, 20, 785, 79, 14, 14, true, true
13, 21, 785, 73, 13, 14, true, true
13, 23, 786, 74, 14, 15, true, true
14, 24, 792, 73, 15, 15, true, true
14, 25, 794, 60, 16, 14, true, true
15, 27, 807, 73, 17, 15, true, true
16, 28, 818, 70, 16, 15, true, true
16, 29, 820, 61, 17, 15, true, true
20, 30, 834, 72, 17, 14, true, true
21, 31, 839, 73, 18, 12, true, true
21, 32, 845, 79, 19, 11, true, true
22, 34, 847, 80, 20, 12, true, true
23, 35, 849, 75, 21, 11, true, true
23, 36, 912, 137, 21, 10, true, true
24, 37, 912, 135, 20, 10, true, true
25, 38, 914, 137, 21, 10, true, true
26, 39, 914, 136, 20, 10, true, true
26, 40, 914, 135, 19, 11, true, true
28, 43, 916, 137, 20, 13, true, true
30, 46, 916, 136, 19, 16, true, true
31, 47, 922, 142, 20, 16, true, true
31, 48, 926, 146, 21, 15, true, true
33, 50, 926, 141, 21, 16, true, true
34, 51, 926, 138, 21, 18, true, true
35, 52, 935, 97, 22, 17, true, true
35, 53, 936, 98, 23, 16, true, true
37, 55, 936, 92, 22, 17, true, true
39, 58, 936, 88, 22, 19, true, true
40, 59, 936, 87, 22, 20, true, true
40, 60, 938, 89, 23, 18, true, true
41, 61, 938, 88, 22, 18, true, true
42, 63, 941, 90, 22, 18, true, true
43, 65, 941, 88, 21, 21, true, true
45, 66, 941, 83, 21, 22, true, true
46, 67, 941, 81, 21, 22, true, true
46, 68, 943, 83, 22, 20, true, true
48, 69, 943, 82, 22, 22, true, true
49, 71, 943, 78, 21, 23, true, true
52, 76, 944, 77, 21, 24, true, true
54, 79, 947, 73, 22, 23, true, true
57, 82, 948, 71, 22, 22, true, true
59, 85, 954, 75, 22, 21, true, true
60, 88, 957, 78, 23, 22, true, true
