time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
22, 1, 34, 34, 1, 1, true, true
23, 2, 35, 1, 1, 2, true, true
25, 3, 1166, 1132, 2, 3, true, true
26, 4, 1427, 603, 3, 3, true, true
27, 5, 1465, 520, 4, 4, true, true
28, 6, 1833, 796, 4, 5, true, true
29, 7, 1878, 814, 5, 6, true, true
30, 9, 1895, 815, 6, 8, true, true
30, 10, 1928, 795, 7, 9, true, true
31, 11, 1946, 798, 8, 10, true, true
32, 12, 1950, 796, 9, 10, true, true
33, 13, 1993, 815, 10, 11, true, true
34, 14, 2062, 838, 11, 11, true, true
35, 15, 2099, 823, 12, 12, true, true
38, 16, 2370, 880, 13, 13, true, true
41, 18, 2495, 848, 14, 16, true, true
42, 19, 2519, 846, 15, 16, true, true
43, 20, 2544, 834, 16, 16, true, true
44, 21, 2610, 839, 17, 17, true, true
45, 22, 2613, 795, 18, 17, true, true
46, 23, 2629, 810, 19, 18, true, true
47, 25, 2638, 815, 20, 21, true, true
48, 26, 2654, 830, 21, 21, true, true
50, 28, 2656, 822, 22, 24, true, true
51, 29, 2908, 949, 23, 25, true, true
52, 30, 2917, 928, 24, 26, true, true
53, 31, 2958, 951, 25, 27, true, true
55, 32, 3133, 1078, 26, 27, true, true
56, 33, 3141, 1053, 27, 27, true, true
57, 34, 3221, 972, 28, 28, true, true
59, 35, 3223, 970, 29, 29, true, true
60, 36, 3228, 964, 30, 29, true, true
62, 37, 3246, 975, 31, 30, true, true
63, 40, 3248, 974, 32, 33, true, true
64, 41, 3248, 973, 32, 33, true, true
66, 42, 3279, 996, 33, 33, true, true
68, 43, 3279, 986, 32, 33, true, true
69, 45, 3282, 979, 33, 35, true, true
70, 46, 3287, 984, 34, 36, true, true
72, 47, 3296, 895, 35, 37, true, true
73, 48, 3399, 901, 35, 36, true, true
75, 49, 3408, 880, 35, 37, true, true
77, 50, 3409, 867, 35, 38, true, true
78, 51, 3410, 868, 36, 39, true, true
80, 52, 3414, 848, 37, 39, true, true
81, 53, 3416, 850, 38, 38, true, true
82, 54, 3431, 861, 39, 39, true, true
84, 55, 3460, 848, 39, 40, true, true
85, 56, 3484, 868, 40, 40, true, true
87, 57, 3487, 867, 41, 40, true, true
88, 58, 3537, 914, 42, 41, true, true
90, 59, 3540, 901, 42, 42, true, true
91, 60, 3541, 899, 43, 42, true, true
93, 61, 3563, 919, 43, 41, true, true
94, 62, 3564, 907, 44, 42, true, true
96, 63, 3570, 900, 45, 43, true, true
98, 65, 3575, 886, 46, 45, true, true
100, 67, 3582, 877, 47, 47, true, true
102, 68, 3583, 857, 48, 48, true, true
104, 69, 3596, 870, 49, 48, true, true
105, 70, 3597, 871, 50, 49, true, true
107, 71, 3600, 868, 50, 48, true, true
109, 73, 3612, 868, 51, 49, true, true
110, 74, 3619, 870, 52, 50, true, true
113, 75, 3619, 863, 52, 51, true, true
115, 76, 3673, 829, 53, 51, true, true
117, 77, 3674, 830, 54, 51, true, true
119, 78, 3680, 823, 54, 50, true, true
122, 79, 3680, 822, 54, 51, true, true
136, 83, 3686, 805, 55, 57, true, true
142, 87, 3688, 800, 56, 63, true, true
144, 88, 3816, 908, 56, 63, true, true
147, 90, 3818, 908, 57, 65, true, true
150, 91, 3822, 911, 57, 65, true, true
152, 92, 3842, 859, 58, 64, true, true
154, 93, 3859, 826, 59, 65, true, true
156, 94, 3864, 830, 60, 66, true, true
162, 95, 3864, 827, 60, 67, true, true
164, 97, 3865, 827, 61, 69, true, true
167, 98, 3869, 828, 62, 70, true, true
171, 99, 3898, 836, 63, 70, true, true
174, 100, 3902, 831, 63, 69, true, true
178, 101, 3904, 832, 64, 68, true, true
182, 102, 3911, 821, 65, 68, true, true
186, 104, 3913, 815, 66, 68, true, true
189, 107, 3914, 815, 66, 70, true, true
192, 108, 3918, 819, 67, 71, true, true
194, 109, 3924, 822, 68, 72, true, true
198, 110, 3928, 819, 69, 73, true, true
201, 111, 3930, 821, 70, 74, true, true
212, 114, 3932, 812, 71, 76, true, true
218, 115, 3932, 811, 70, 76, true, true
223, 116, 3937, 807, 71, 76, true, true
226, 117, 3939, 809, 72, 76, true, true
228, 118, 3947, 808, 73, 76, true, true
232, 119, 3951, 807, 74, 77, true, true
237, 120, 3952, 806, 75, 78, true, true
242, 121, 3963, 813, 76, 78, true, true
248, 122, 3964, 804, 77, 79, true, true
253, 123, 3964, 803, 77, 81, true, true
257, 124, 3969, 800, 77, 80, true, true
266, 125, 3969, 781, 76, 81, true, true
269, 126, 3973, 778, 77, 81, true, true
271, 127, 3977, 775, 78, 81, true, true
274, 128, 3980, 756, 78, 81, true, true
277, 129, 3983, 757, 78, 82, true, true
288, 131, 3983, 756, 78, 85, true, true
306, 132, 4000, 752, 78, 85, true, true
309, 133, 4001, 753, 79, 85, true, true
311, 134, 4002, 752, 80, 85, true, true
314, 135, 4016, 765, 81, 84, true, true
318, 136, 4030, 761, 82, 84, true, true
323, 138, 4030, 758, 82, 87, true, true
327, 139, 4032, 754, 83, 87, true, true
329, 140, 4062, 772, 83, 88, true, true
337, 141, 4062, 763, 83, 89, true, true
359, 144, 4067, 760, 84, 90, true, true
363, 145, 4069, 761, 85, 90, true, true
368, 147, 4073, 760, 85, 93, true, true
377, 148, 4075, 753, 86, 92, true, true
382, 149, 4075, 751, 85, 94, true, true
383, 150, 4075, 750, 84, 96, true, true
387, 151, 4076, 742, 83, 95, true, true
399, 152, 4076, 741, 82, 97, true, true
408, 154, 4077, 742, 83, 99, true, true
413, 157, 4085, 746, 84, 101, true, true
430, 160, 4142, 671, 84, 101, true, true
438, 161, 4146, 674, 85, 101, true, true
443, 162, 4148, 676, 86, 101, true, true
450, 163, 4148, 674, 85, 103, true, true
455, 164, 4149, 674, 86, 102, true, true
459, 165, 4290, 787, 86, 102, true, true
464, 166, 4305, 791, 87, 102, true, true
468, 167, 4306, 792, 88, 103, true, true
501, 168, 4321, 798, 89, 104, true, true
506, 169, 4323, 799, 90, 104, true, true
512, 170, 4325, 801, 91, 104, true, true
519, 171, 4326, 801, 92, 103, true, true
523, 172, 4328, 802, 93, 103, true, true
536, 174, 4328, 800, 93, 104, true, true
541, 175, 4329, 799, 94, 105, true, true
547, 176, 4330, 799, 94, 106, true, true
552, 177, 4394, 770, 94, 105, true, true
558, 179, 4395, 771, 95, 107, true, true
562, 180, 4396, 772, 96, 107, true, true
567, 181, 4398, 772, 97, 107, true, true
586, 185, 4400, 773, 97, 110, true, true
595, 186, 4400, 772, 96, 111, true, true
600, 187, 4436, 806, 97, 111, true, true
611, 188, 4438, 803, 97, 112, true, true
617, 189, 4448, 808, 98, 112, true, true
642, 190, 4448, 799, 98, 113, true, true
649, 191, 4465, 810, 99, 112, true, true
654, 192, 4517, 840, 100, 111, true, true
662, 194, 4521, 832, 101, 112, true, true
669, 195, 4525, 835, 101, 104, true, true
676, 196, 4533, 835, 102, 104, true, true
689, 197, 4533, 833, 102, 104, true, true
723, 201, 4535, 835, 103, 103, true, true
736, 202, 4535, 833, 102, 103, true, true
740, 203, 4571, 845, 103, 104, true, true
747, 204, 4581, 835, 102, 104, true, true
756, 205, 4581, 834, 102, 105, true, true
764, 206, 4600, 852, 102, 103, true, true
793, 211, 4613, 815, 103, 107, true, true
802, 212, 4614, 816, 104, 106, true, true
827, 214, 4618, 820, 105, 106, true, true
833, 215, 4619, 819, 105, 105, true, true
839, 216, 4623, 820, 106, 105, true, true
845, 217, 4625, 822, 107, 103, true, true
852, 218, 4625, 819, 107, 105, true, true
860, 219, 4636, 828, 107, 103, true, true
878, 221, 4636, 827, 106, 106, true, true
883, 222, 4637, 811, 106, 106, true, true
890, 223, 4638, 809, 107, 106, true, true
903, 225, 4643, 807, 106, 106, true, true
908, 227, 4644, 805, 106, 107, true, true
932, 232, 4656, 805, 106, 109, true, true
939, 233, 4657, 806, 107, 110, true, true
947, 234, 4659, 805, 108, 108, true, true
952, 235, 4706, 802, 107, 108, true, true
970, 237, 4707, 803, 108, 111, true, true
975, 238, 4710, 802, 109, 111, true, true
987, 239, 4710, 799, 108, 111, true, true
995, 240, 4714, 800, 109, 110, true, true
1000, 241, 4734, 820, 110, 110, true, true
1012, 243, 4738, 822, 111, 111, true, true
1027, 244, 4738, 817, 111, 112, true, true
1033, 245, 4739, 817, 112, 112, true, true
1038, 246, 4760, 787, 113, 108, true, true
1057, 249, 4765, 791, 114, 109, true, true
1088, 252, 4771, 793, 115, 112, true, true
1094, 253, 4776, 793, 116, 111, true, true
1100, 254, 4777, 794, 117, 109, true, true
1106, 256, 4779, 795, 117, 109, true, true
1139, 257, 4779, 791, 117, 110, true, true
1149, 258, 4780, 792, 118, 107, true, true
1156, 259, 4782, 792, 119, 105, true, true
1164, 260, 4782, 791, 119, 106, true, true
1172, 262, 4783, 791, 120, 104, true, true
1211, 264, 4785, 791, 120, 106, true, true
1223, 265, 4785, 790, 119, 107, true, true
1229, 266, 4786, 787, 119, 106, true, true
1267, 269, 4787, 785, 120, 106, true, true
1297, 271, 4788, 786, 121, 104, true, true
1303, 272, 4790, 787, 121, 99, true, true
1312, 273, 4791, 786, 122, 100, true, true
1323, 274, 4791, 781, 122, 100, true, true
1341, 275, 4791, 780, 122, 102, true, true
1427, 280, 4792, 780, 123, 106, true, true
1465, 282, 4792, 779, 123, 109, true, true
1517, 286, 4811, 781, 123, 108, true, true
1525, 287, 4811, 771, 123, 108, true, true
1537, 289, 4813, 773, 124, 109, true, true
1553, 290, 4814, 774, 125, 106, true, true
1562, 291, 4838, 776, 125, 105, true, true
1576, 292, 4839, 775, 126, 104, true, true
1582, 293, 4839, 774, 126, 105, true, true
1603, 294, 4965, 819, 122, 104, true, true
1641, 296, 4965, 818, 122, 105, true, true
1649, 297, 4968, 817, 122, 104, true, true
1656, 298, 4968, 815, 121, 105, true, true
1665, 299, 4970, 813, 121, 103, true, true
1678, 300, 4970, 812, 121, 105, true, true
1702, 302, 4982, 818, 121, 105, true, true
1710, 303, 4987, 823, 122, 104, true, true
1721, 304, 4989, 821, 122, 104, true, true
1759, 306, 4989, 820, 122, 105, true, true
1770, 307, 5018, 837, 122, 105, true, true
1786, 308, 5018, 835, 122, 105, true, true
1792, 309, 5019, 836, 123, 105, true, true
1812, 310, 5036, 835, 124, 105, true, true
1872, 314, 5038, 837, 125, 107, true, true
1888, 315, 5038, 832, 124, 107, true, true
1951, 318, 5049, 838, 124, 109, true, true
1963, 319, 5050, 839, 125, 109, true, true
1973, 321, 5054, 842, 126, 108, true, true
2017, 323, 5067, 789, 126, 106, true, true
2056, 325, 5076, 770, 126, 106, true, true
2077, 326, 5076, 769, 126, 108, true, true
2109, 328, 5078, 771, 127, 109, true, true
2175, 332, 5079, 768, 128, 109, true, true
2186, 333, 5083, 772, 129, 108, true, true
2204, 334, 5084, 772, 130, 106, true, true
2268, 336, 5084, 770, 130, 108, true, true
2279, 337, 5085, 771, 131, 105, true, true
2328, 339, 5089, 768, 131, 106, true, true
2380, 342, 5089, 765, 131, 108, true, true
2407, 345, 5091, 766, 131, 107, true, true
2435, 349, 5091, 763, 130, 109, true, true
2458, 351, 5092, 762, 131, 109, true, true
2466, 352, 5093, 762, 131, 110, true, true
2470, 353, 5097, 764, 130, 109, true, true
2502, 355, 5106, 767, 130, 109, true, true
2528, 357, 5108, 763, 130, 109, true, true
2545, 358, 5108, 758, 129, 110, true, true
2571, 360, 5108, 757, 128, 112, true, true
2583, 362, 5111, 748, 127, 111, true, true
2627, 367, 5112, 746, 128, 111, true, true
2637, 368, 5116, 714, 128, 111, true, true
2653, 369, 5116, 713, 127, 112, true, true
2671, 370, 5116, 712, 126, 113, true, true
2697, 371, 5116, 711, 126, 114, true, true
2708, 372, 5117, 710, 127, 114, true, true
2719, 373, 5120, 694, 128, 114, true, true
2735, 374, 5120, 693, 127, 115, true, true
2746, 375, 5120, 692, 127, 115, true, true
2754, 376, 5125, 691, 128, 114, true, true
2788, 378, 5128, 692, 129, 113, true, true
2854, 382, 5128, 690, 128, 116, true, true
2867, 383, 5128, 688, 127, 116, true, true
2909, 385, 5128, 685, 127, 117, true, true
2921, 386, 5137, 694, 128, 116, true, true
2951, 388, 5137, 692, 127, 117, true, true
2976, 389, 5137, 691, 127, 117, true, true
3066, 395, 5137, 689, 127, 123, true, true
3218, 406, 5168, 686, 127, 124, true, true
3245, 407, 5168, 679, 126, 125, true, true
3278, 408, 5168, 677, 126, 126, true, true
3293, 410, 5174, 664, 127, 125, true, true
3416, 417, 5174, 663, 127, 128, true, true
3453, 419, 5174, 661, 127, 129, true, true
3470, 420, 5174, 658, 126, 129, true, true
3541, 424, 5174, 654, 123, 132, true, true
3593, 427, 5175, 654, 123, 134, true, true
3624, 429, 5175, 653, 122, 135, true, true
3707, 435, 5180, 658, 123, 137, true, true
3723, 436, 5186, 663, 124, 135, true, true
3795, 437, 5187, 639, 125, 134, true, true
3821, 439, 5187, 637, 124, 135, true, true
3836, 440, 5187, 636, 124, 137, true, true
3849, 441, 5187, 635, 124, 139, true, true
3857, 442, 5189, 635, 125, 139, true, true
