time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
4, 1, 1059, 1059, 1, 1, true, true
5, 2, 1062, 15, 2, 2, true, true
6, 3, 1067, 10, 3, 3, true, true
7, 4, 1083, 23, 4, 2, true, true
9, 5, 1100, 31, 4, 1, true, true
10, 7, 1100, 23, 4, 3, true, true
12, 10, 1101, 22, 5, 2, true, true
14, 12, 1102, 23, 6, 2, true, true
15, 14, 1104, 22, 7, 0, true, true
17, 16, 1104, 21, 7, 0, true, true
22, 24, 1104, 19, 6, 1, true, true
27, 35, 1105, 20, 7, 2, true, true
32, 46, 1105, 15, 5, 3, true, true
39, 59, 1108, 7, 5, 4, true, true
48, 70, 1109, 8, 6, 5, true, true
61, 85, 1110, 9, 7, 5, true, true
64, 89, 1110, 8, 6, 5, true, true
68, 94, 1111, 9, 7, 4, true, true
70, 99, 1112, 9, 7, 3, true, true
73, 103, 1112, 8, 6, 4, true, true
86, 122, 1112, 7, 5, 5, true, true
87, 123, 1113, 8, 6, 4, true, true
102, 135, 1114, 9, 7, 4, true, true
108, 143, 1124, 19, 8, 3, true, true
114, 152, 1124, 18, 8, 3, true, true
148, 192, 1124, 17, 7, 4, true, true
161, 205, 1125, 18, 8, 3, true, true
173, 218, 1126, 19, 9, 2, true, true
294, 255, 1127, 18, 10, 3, true, true
306, 268, 1127, 17, 9, 3, true, true
327, 295, 1127, 16, 8, 6, true, true
364, 344, 1130, 19, 9, 5, true, true
476, 486, 1131, 19, 9, 9, true, true
480, 492, 1131, 17, 9, 9, true, true
513, 535, 1131, 16, 8, 9, true, true
517, 542, 1133, 18, 9, 9, true, true
524, 551, 3467, 2345, 7, 8, true, true
538, 571, 3468, 2345, 7, 9, true, true
576, 623, 3468, 2344, 6, 12, true, true
601, 659, 3469, 2345, 7, 12, true, true
704, 793, 3469, 2344, 6, 14, true, true
716, 809, 3469, 2343, 5, 14, true, true
722, 816, 3472, 2344, 6, 13, true, true
756, 830, 5327, 1878, 7, 12, true, true
759, 831, 5328, 1879, 8, 7, true, true
764, 832, 5328, 1878, 7, 7, true, true
800, 864, 5329, 1879, 8, 6, true, true
1018, 1075, 5330, 1880, 9, 8, true, true
1044, 1103, 5330, 1879, 8, 8, true, true
1100, 1165, 5349, 1859, 9, 7, true, true
1131, 1198, 5352, 1861, 10, 5, true, true
1184, 1244, 5353, 1861, 10, 4, true, true
1214, 1263, 5353, 1859, 9, 4, true, true
1329, 1353, 5353, 1856, 8, 5, true, true
1794, 1724, 5354, 1856, 9, 8, true, true
1877, 1810, 5477, 160, 9, 7, true, true
1890, 1822, 5477, 159, 8, 7, true, true
2149, 2089, 5479, 153, 9, 8, true, true
2443, 2457, 5858, 522, 10, 8, true, true
2513, 2542, 5858, 521, 10, 9, true, true
2564, 2612, 5887, 543, 11, 9, true, true
2893, 2968, 5889, 545, 12, 8, true, true
2898, 2972, 5889, 543, 11, 8, true, true
2980, 3069, 5890, 542, 12, 9, true, true
3255, 3348, 5893, 545, 13, 9, true, true
3566, 3716, 5893, 517, 13, 13, true, true
4136, 4328, 5914, 423, 13, 18, true, true
4248, 4462, 5914, 422, 12, 20, true, true
4278, 4484, 5914, 421, 11, 20, true, true
4847, 4975, 5919, 420, 12, 22, true, true
4975, 5130, 5920, 401, 13, 21, true, true
5056, 5226, 5921, 402, 14, 19, true, true
5484, 5553, 5921, 401, 13, 20, true, true
5542, 5587, 5926, 406, 14, 17, true, true
5859, 5866, 5927, 407, 15, 17, true, true
6057, 6067, 5930, 407, 16, 17, true, true
6086, 6096, 5931, 408, 17, 16, true, true
6236, 6234, 5931, 74, 16, 16, true, true
6455, 6389, 5931, 69, 15, 18, true, true
6817, 6621, 5931, 68, 14, 21, true, true
7144, 6846, 5932, 69, 15, 21, true, true
7560, 7125, 5932, 65, 14, 21, true, true
7584, 7133, 5932, 64, 14, 21, true, true
7662, 7185, 5932, 63, 14, 21, true, true
7691, 7205, 5933, 64, 15, 20, true, true
7889, 7339, 5933, 63, 14, 21, true, true
8276, 7573, 5934, 64, 15, 19, true, true
8406, 7648, 5935, 64, 15, 19, true, true
8809, 7856, 5935, 63, 14, 20, true, true
9787, 8384, 5938, 64, 15, 19, true, true
10037, 8532, 5939, 65, 16, 18, true, true
10462, 8752, 5940, 66, 17, 18, true, true
11691, 9384, 5941, 67, 18, 19, true, true
12185, 9643, 5943, 66, 17, 19, true, true
12599, 9868, 5947, 70, 18, 19, true, true
13046, 10114, 5949, 72, 19, 16, true, true
13612, 10316, 5950, 73, 20, 15, true, true
14849, 10902, 5950, 71, 20, 16, true, true
15569, 11270, 5951, 72, 21, 16, true, true
18148, 12529, 5953, 74, 22, 18, true, true
18371, 12684, 5953, 70, 21, 19, true, true
19210, 13105, 5955, 72, 22, 18, true, true
19295, 13141, 5958, 61, 23, 15, true, true
19380, 13194, 5958, 60, 23, 16, true, true
19765, 13420, 5960, 61, 23, 16, true, true
21875, 14451, 5961, 60, 24, 18, true, true
22388, 14679, 5961, 59, 24, 18, true, true
23847, 15202, 5963, 61, 25, 18, true, true
24798, 15659, 5965, 63, 26, 20, true, true
26831, 16918, 5965, 62, 25, 22, true, true
27236, 17197, 5967, 57, 25, 22, true, true
29476, 18470, 6250, 339, 26, 26, true, true
30355, 18979, 6257, 338, 26, 23, true, true
30800, 19193, 6257, 337, 25, 25, true, true
31555, 19630, 6257, 335, 25, 27, true, true
31715, 19715, 6257, 333, 24, 27, true, true
32592, 20238, 6258, 330, 25, 26, true, true
35988, 22233, 6272, 344, 26, 26, true, true
39114, 24217, 6273, 345, 27, 27, true, true
39425, 24415, 6309, 376, 27, 27, true, true
39784, 24604, 6354, 420, 28, 24, true, true
41815, 25771, 6354, 419, 27, 26, true, true
42907, 26378, 6355, 420, 28, 26, true, true
43650, 26832, 6356, 419, 28, 25, true, true
43943, 26990, 6358, 421, 29, 26, true, true
44567, 27360, 6358, 420, 28, 26, true, true
48506, 29787, 6389, 449, 29, 28, true, true
49707, 30455, 6392, 449, 29, 28, true, true
49852, 30535, 6393, 440, 30, 28, true, true
50319, 30830, 6402, 449, 31, 27, true, true
53073, 32305, 6403, 450, 32, 28, true, true
54855, 33219, 6405, 452, 33, 24, true, true
56704, 34166, 6405, 450, 32, 25, true, true
57052, 34305, 6406, 451, 33, 24, true, true
57461, 34544, 6407, 452, 34, 22, true, true
58689, 35200, 6407, 451, 34, 24, true, true
59960, 35803, 6407, 450, 33, 26, true, true
