time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
0, 1, 51, 51, 1, 0, true, true
0, 2, 51, 0, 0, 0, true, true
1, 9, 52, 1, 1, 0, true, true
1, 15, 52, 0, 0, 3, true, true
2, 19, 60, 8, 1, 0, true, true
2, 22, 60, 0, 0, 0, true, true
19, 242, 63, 3, 1, 0, true, true
34, 444, 63, 0, 0, 1, true, true
73, 821, 75, 12, 1, 1, true, true
112, 1349, 79, 8, 2, 3, true, true
179, 2029, 83, 12, 3, 5, true, true
202, 2296, 85, 13, 4, 1, true, true
216, 2478, 85, 10, 4, 1, true, true
227, 2617, 85, 7, 3, 1, true, true
234, 2707, 85, 6, 3, 2, true, true
273, 3059, 97, 17, 3, 1, true, true
273, 3062, 97, 13, 2, 1, true, true
478, 5299, 98, 14, 3, 1, true, true
647, 7487, 98, 13, 2, 1, true, true
3559, 9376, 98, 12, 1, 4, true, true
3577, 9618, 99, 13, 2, 3, true, true
9479, 15140, 102, 16, 3, 4, true, true
11988, 17289, 104, 17, 4, 2, true, true
12014, 17642, 128, 38, 5, 1, true, true
12150, 19311, 128, 37, 4, 1, true, true
16587, 27049, 151, 60, 5, 3, true, true
18171, 28562, 151, 58, 4, 3, true, true
21845, 37122, 151, 49, 3, 3, true, true
23914, 40240, 151, 48, 3, 4, true, true
25638, 43020, 153, 49, 4, 5, true, true
27628, 49089, 154, 50, 5, 7, true, true
29431, 53260, 155, 51, 6, 6, true, true
38043, 69624, 155, 48, 6, 11, true, true
40136, 76101, 165, 57, 7, 11, true, true
44034, 83882, 170, 44, 8, 14, true, true
45947, 84660, 170, 43, 7, 14, true, true
45964, 84859, 171, 41, 8, 13, true, true
48505, 90225, 172, 42, 9, 12, true, true
50482, 92937, 172, 41, 8, 13, true, true
52645, 97375, 173, 41, 8, 14, true, true
54357, 99865, 178, 27, 9, 12, true, true
57935, 107087, 180, 20, 10, 10, true, true
63793, 119569, 182, 22, 11, 15, true, true
75967, 129595, 185, 23, 12, 8, true, true
76188, 132089, 185, 21, 12, 9, true, true
101558, 142306, 185, 19, 11, 9, true, true
114235, 153512, 185, 18, 11, 10, true, true
120708, 160943, 192, 24, 12, 9, true, true
127024, 167431, 194, 26, 13, 8, true, true
139118, 179826, 194, 25, 13, 8, true, true
139333, 181587, 194, 23, 12, 8, true, true
139411, 182234, 195, 21, 12, 5, true, true
150401, 193556, 196, 22, 13, 5, true, true
215359, 208664, 196, 22, 13, 6, true, false
234995, 222073, 196, 21, 12, 6, true, true
245395, 228430, 204, 29, 13, 5, true, true
245703, 231151, 205, 30, 14, 4, true, true
259498, 239734, 205, 28, 13, 4, true, true
283145, 260695, 206, 29, 14, 4, true, true
296457, 271750, 206, 28, 14, 5, true, true
321004, 288995, 208, 25, 15, 4, true, true
329810, 295741, 208, 24, 14, 5, true, true
334427, 302489, 208, 23, 13, 5, true, true
382550, 343875, 208, 22, 12, 5, true, true
408081, 366659, 208, 21, 11, 7, true, true
440376, 395470, 209, 22, 12, 5, true, true
453543, 407201, 209, 21, 11, 6, true, true
457296, 409961, 209, 20, 11, 6, true, true
518789, 469042, 209, 20, 11, 7, true, false
544835, 496248, 212, 23, 12, 6, true, true
548525, 501234, 213, 23, 13, 5, true, true
571492, 523233, 213, 22, 12, 5, true, true
576592, 528197, 213, 21, 11, 5, true, true
584132, 536436, 213, 20, 10, 5, true, true
654656, 578883, 213, 18, 10, 10, true, true
781490, 689008, 214, 19, 11, 10, true, true
803410, 699604, 220, 25, 12, 11, true, true
955372, 801529, 222, 27, 13, 11, true, true
988065, 823827, 224, 23, 14, 10, true, true
1027954, 855096, 224, 22, 13, 13, true, true
1137538, 945479, 224, 20, 12, 17, true, true
1298698, 1114080, 233, 29, 13, 20, true, true
1301877, 1118486, 234, 18, 14, 17, true, true
1305073, 1124972, 235, 19, 15, 16, true, true
1327073, 1141855, 238, 20, 14, 15, true, true
1393823, 1203739, 238, 19, 13, 19, true, true
1447276, 1245423, 238, 18, 12, 20, true, true
1552273, 1321702, 239, 19, 13, 22, true, true
1581594, 1343919, 239, 18, 12, 24, true, true
1626150, 1377934, 239, 16, 11, 24, true, true
1626376, 1379846, 240, 16, 11, 21, true, true
1635450, 1388045, 242, 17, 11, 20, true, true
1747093, 1467874, 244, 18, 12, 18, true, true
2002701, 1651310, 244, 17, 11, 20, true, true
2033937, 1668129, 246, 19, 12, 18, true, true
2098109, 1708578, 247, 20, 13, 13, true, true
2276417, 1827053, 249, 22, 14, 11, true, true
2359311, 1883184, 250, 20, 13, 10, true, true
2359343, 1883500, 250, 19, 12, 10, true, true
2585856, 2100753, 251, 20, 13, 7, true, true
2588539, 2102792, 251, 18, 12, 7, true, true
2597275, 2115952, 251, 16, 11, 7, true, true
2789374, 2291078, 251, 15, 10, 7, true, true
2930997, 2393825, 253, 17, 11, 6, true, true
2963881, 2415488, 254, 18, 12, 5, true, true
3147574, 2539742, 255, 19, 13, 6, true, true
3293978, 2638236, 255, 17, 12, 7, true, true
3443308, 2742192, 255, 16, 11, 7, true, true
3913540, 3093698, 256, 17, 12, 7, true, true
3958585, 3121802, 256, 16, 11, 7, true, true
4318276, 3369278, 256, 14, 10, 9, true, true
4409601, 3435218, 257, 15, 11, 8, true, true
5099883, 3932500, 257, 13, 10, 9, true, true
5424932, 4156839, 257, 11, 9, 10, true, true
5425129, 4158792, 264, 18, 10, 9, true, true
5592216, 4280998, 264, 17, 9, 10, true, true
6532432, 4939825, 264, 16, 8, 14, true, true
6616884, 5002804, 265, 17, 9, 11, true, true
6711701, 5070843, 270, 21, 10, 11, true, true
6759677, 5099560, 271, 21, 11, 10, true, true
