subject,node_select,index,total_edges,execs_per_sec,execs_done,container_name,filename,start_time,last_update,run_time,fuzzer_pid,cycles_done,cycles_wo_finds,time_wo_finds,fuzz_time,calibration_time,cmplog_time,sync_time,trim_time,execs_ps_last_min,corpus_count,corpus_favored,corpus_found,corpus_imported,corpus_variable,max_depth,cur_item,pending_favs,pending_total,stability,bitmap_cvg,saved_crashes,saved_hangs,last_find,last_crash,last_hang,execs_since_crash,exec_timeout,slowest_exec_ms,peak_rss_mb,cpu_affinity,edges_found,var_byte_count,havoc_expansion,auto_dict_entries,testcache_size,testcache_count,testcache_evict,afl_banner,afl_version,target_mode,command_line
freetype2,no,0,46051,49.08,8502463,gallant_cartwright,gallant_cartwright_fuzzer_stats,1738244961,1738418212,173250,11,4251193,4251193,2418,172800,0,0,450,0,39.66,2,2,0,0,1,1,2,0,0,99.97,23.1,0,0,1738416161,0,0,8502463,5,0,0,-1,10640,3,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,no,1,46051,52.86,9160011,pedantic_margulis,pedantic_margulis_fuzzer_stats,1738245317,1738418601,173284,11,4579968,4579968,2884,172800,0,0,484,0,61.8,2,2,0,0,1,1,1,0,0,99.97,23.02,0,0,1738416316,0,0,9160011,5,0,0,-1,10603,3,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,no,2,46051,48.04,8323007,nostalgic_ardinghelli,nostalgic_ardinghelli_fuzzer_stats,1738245318,1738418561,173243,11,4161461,4161461,3279,172800,0,0,443,0,63.65,2,2,0,0,1,1,2,0,0,99.97,22.91,0,0,1738418554,0,0,8323007,5,0,0,-1,10552,3,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,no,3,46051,52.48,9092718,hardcore_keldysh,hardcore_keldysh_fuzzer_stats,1738245319,1738418595,173275,11,4546323,4546323,3150,172800,0,0,475,0,43.18,2,2,0,0,1,1,2,0,0,99.97,22.62,0,0,1738417459,0,0,9092718,5,0,0,-1,10418,3,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,no,4,46051,52.84,9156658,inspiring_jackson,inspiring_jackson_fuzzer_stats,1738245321,1738418603,173282,11,4578295,4578295,2839,172800,0,0,482,0,56.77,2,2,0,0,1,1,2,0,0,99.97,22.35,0,0,1738416408,0,0,9156658,5,0,0,-1,10291,3,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,yes,0,26553,103.18,17923221,silly_visvesvaraya,silly_visvesvaraya_fuzzer_stats,1738244946,1738418660,173713,11,8961556,8961556,1969,172800,0,0,913,0,100.93,2,2,0,0,1,1,2,0,0,99.96,20.6,0,0,1738418414,0,0,17923221,5,0,0,-1,5471,2,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,yes,1,26553,100.92,17529581,eager_saha,eager_saha_fuzzer_stats,1738245231,1738418925,173694,11,8764743,8764743,3055,172799,0,0,894,0,150.76,2,2,0,0,0,1,1,0,0,100.0,21.01,0,0,1738418506,0,0,17529581,5,0,0,-1,5580,0,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,yes,2,26553,103.59,17996167,serene_knuth,serene_knuth_fuzzer_stats,1738245232,1738418950,173718,11,8998033,8998033,3096,172800,0,0,918,0,166.17,2,2,0,0,1,1,1,0,0,99.96,20.92,0,0,1738415854,0,0,17996167,5,0,0,-1,5554,2,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,yes,3,26553,107.66,18706306,magical_wozniak,magical_wozniak_fuzzer_stats,1738245233,1738418982,173749,11,9353108,9353108,2318,172799,0,0,949,0,169.37,2,2,0,0,1,1,2,0,0,99.96,21.03,0,0,1738418818,0,0,18706306,5,0,0,-1,5585,2,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
freetype2,yes,4,26553,104.89,18222394,dazzling_ishizaka,dazzling_ishizaka_fuzzer_stats,1738245234,1738418958,173723,11,9111139,9111139,3811,172800,0,0,923,0,117.39,2,2,0,0,1,1,1,0,0,99.96,20.93,0,0,1738418871,0,0,18222394,5,0,0,-1,5558,2,5,0,2896,2,0,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -Z -z -P explore -V 172800 -- /out/ftfuzzer 2147483647
jsoncpp,no,0,8780,2653.02,470568790,friendly_booth,friendly_booth_fuzzer_stats,1738244944,1738422315,177371,11,470568785,470568785,13618,172800,0,0,4571,0,3140.21,1,1,0,0,0,1,1,0,0,100.0,21.77,0,0,1738421341,0,0,470568790,1000,0,0,-1,1911,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,no,1,8780,2826.35,502118945,magical_hermann,magical_hermann_fuzzer_stats,1738245310,1738422966,177656,11,502118940,502118940,12604,172799,0,0,4856,0,3564.97,1,1,0,0,0,1,1,0,0,100.0,21.75,0,0,1738420123,0,0,502118945,1000,0,0,-1,1910,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,no,2,8780,2701.42,479332359,zealous_cannon,zealous_cannon_fuzzer_stats,1738245311,1738422748,177437,11,479332354,479332354,13869,172800,0,0,4637,0,3504.45,1,1,0,0,0,1,1,0,0,100.0,21.75,0,0,1738419097,0,0,479332359,1000,0,0,-1,1910,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,no,3,8780,2601.59,461243185,vigilant_blackburn,vigilant_blackburn_fuzzer_stats,1738245312,1738422605,177292,11,461243180,461243180,13067,172800,0,0,4492,0,3355.98,1,1,0,0,0,1,1,0,0,100.0,21.75,0,0,1738421322,0,0,461243185,1000,0,0,-1,1910,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,no,4,8780,2648.91,469734132,adoring_engelbart,adoring_engelbart_fuzzer_stats,1738245314,1738422645,177330,11,469734127,469734127,23449,172800,0,0,4530,0,3352.54,1,1,0,0,0,1,1,0,0,100.0,21.75,0,0,1738399196,0,0,469734132,1000,0,0,-1,1910,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,0,5631,3462.96,619185888,elated_kapitsa,elated_kapitsa_fuzzer_stats,1738244944,1738423747,178802,11,619185883,619185883,22429,172800,0,0,6002,0,4504.75,1,1,0,0,0,1,1,0,0,100.0,21.75,0,0,1738418879,0,0,619185888,1000,0,0,-1,1225,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,1,5631,3380.86,603749471,eager_vaughan,eager_vaughan_fuzzer_stats,1738245225,1738423803,178578,11,603749466,603749466,14756,172800,0,0,5778,0,4223.34,1,1,0,0,0,1,1,0,0,100.0,21.77,0,0,1738418538,0,0,603749471,1000,0,0,-1,1226,0,5,0,2,1,0,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -Z -z -P explore -V 172800 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
