subject,node_select,index,total_edges,execs_per_sec,execs_done,container_name,filename,start_time,last_update,run_time,fuzzer_pid,cycles_done,cycles_wo_finds,time_wo_finds,fuzz_time,calibration_time,cmplog_time,sync_time,trim_time,execs_ps_last_min,corpus_count,corpus_favored,corpus_found,corpus_imported,corpus_variable,max_depth,cur_item,pending_favs,pending_total,stability,bitmap_cvg,saved_crashes,saved_hangs,last_find,last_crash,last_hang,execs_since_crash,exec_timeout,slowest_exec_ms,peak_rss_mb,cpu_affinity,edges_found,var_byte_count,havoc_expansion,auto_dict_entries,testcache_size,testcache_count,testcache_evict,afl_banner,afl_version,target_mode,command_line
bug-assimp,yes,0,421058,24.48,4231593,trusting_tharp,trusting_tharp_fuzzer_stats,1740128882,1740301751,172868,11,4231588,4231588,5413,172799,0,0,68,0,23.71,1,1,0,0,0,1,1,0,0,100.0,2.95,7,51,1740301436,1740211150,1740248376,2012790,1000,0,0,-1,12436,0,5,0,2,1,0,/out/assimp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/assimp_fuzzer -Z -z -P explore -V 172800 -- /out/assimp_fuzzer 2147483647
bug-assimp,yes,1,421058,32.65,5644904,affectionate_diffie,affectionate_diffie_fuzzer_stats,1740327618,1740500506,172888,11,5644899,5644899,7607,172800,0,0,88,0,22.89,1,1,0,0,0,1,1,0,0,100.0,2.91,6,73,1740495152,1740435776,1740489757,2304827,1000,0,0,-1,12250,0,5,0,2,1,0,/out/assimp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/assimp_fuzzer -Z -z -P explore -V 172800 -- /out/assimp_fuzzer 2147483647
bug-assimp,yes,2,421058,36.04,6230906,silly_heyrovsky,silly_heyrovsky_fuzzer_stats,1740327650,1740500547,172896,11,6230901,6230901,6928,172799,0,0,96,0,20.06,1,1,0,0,0,1,1,0,0,100.0,2.94,5,72,1740493618,1740432924,1740495827,2320497,1000,0,0,-1,12390,0,5,0,2,1,0,/out/assimp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/assimp_fuzzer -Z -z -P explore -V 172800 -- /out/assimp_fuzzer 2147483647
bug-assimp,yes,3,421058,32.48,5615837,trusting_dirac,trusting_dirac_fuzzer_stats,1740327652,1740500543,172890,11,5615832,5615832,8343,172799,0,0,90,0,28.93,1,1,0,0,0,1,1,0,0,100.0,2.95,4,54,1740499146,1740346729,1740486450,4858042,1000,0,0,-1,12418,0,5,0,2,1,0,/out/assimp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/assimp_fuzzer -Z -z -P explore -V 172800 -- /out/assimp_fuzzer 2147483647
bug-assimp,yes,4,421058,36.5,6310057,pedantic_sammet,pedantic_sammet_fuzzer_stats,1740327655,1740500550,172894,11,6310052,6310052,7442,172799,0,0,94,0,30.91,1,1,0,0,0,1,1,0,0,100.0,2.88,6,67,1740499978,1740440628,1740482865,2731252,1000,0,0,-1,12114,0,5,0,2,1,0,/out/assimp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/assimp_fuzzer -Z -z -P explore -V 172800 -- /out/assimp_fuzzer 2147483647
bug-file,yes,0,14188,38.06,6602209,exciting_khorana,exciting_khorana_fuzzer_stats,1739719771,1739893259,173488,11,287041,287041,15238,172797,2,0,688,0,33.04,29,14,0,0,0,1,17,0,0,100.0,16.11,5,3,1739892433,1739775583,1739760994,4342665,348,0,0,-1,2286,0,5,0,53491,29,0,/out/magic_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/magic_fuzzer -Z -z -P explore -V 172800 -- /out/magic_fuzzer 2147483647
bug-file,yes,1,14188,24.81,4298062,bold_keller,bold_keller_fuzzer_stats,1740143523,1740316762,173238,11,186858,186858,8511,172798,1,0,438,0,21.9,29,14,0,0,0,1,21,0,0,100.0,16.03,3,0,1740313718,1740156679,0,3711960,254,0,0,-1,2275,0,5,0,53491,29,0,/out/magic_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/magic_fuzzer -Z -z -P explore -V 172800 -- /out/magic_fuzzer 2147483647
bug-file,yes,2,14188,22.51,3898827,sharp_solomon,sharp_solomon_fuzzer_stats,1740143620,1740316813,173192,11,169499,169499,14678,172798,2,0,391,0,17.13,29,14,0,0,0,1,9,0,0,100.0,15.89,5,1,1740316685,1740170116,1740147193,3036486,248,0,0,-1,2255,0,5,0,53491,29,0,/out/magic_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/magic_fuzzer -Z -z -P explore -V 172800 -- /out/magic_fuzzer 2147483647
bug-file,yes,3,14188,15.59,2698445,gallant_elion,gallant_elion_fuzzer_stats,1740143637,1740316709,173071,11,117308,117308,15304,172798,1,0,271,0,6.49,29,14,0,0,0,1,22,0,0,100.0,15.87,5,1,1740314932,1740203460,1740146584,1585266,234,0,0,-1,2252,0,5,0,53491,29,0,/out/magic_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/magic_fuzzer -Z -z -P explore -V 172800 -- /out/magic_fuzzer 2147483647
bug-file,yes,4,14188,22.54,3904698,dreamy_buck,dreamy_buck_fuzzer_stats,1740143639,1740316837,173198,11,169754,169754,7915,172798,1,0,397,0,19.93,29,14,0,0,0,1,7,0,0,100.0,15.97,4,0,1740314713,1740295179,0,535866,246,0,0,-1,2266,0,5,0,53491,29,0,/out/magic_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -c /out/cmplog/magic_fuzzer -Z -z -P explore -V 172800 -- /out/magic_fuzzer 2147483647
