time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
9, 1, 5734, 5734, 1, 1, true, true
17, 2, 5739, 43, 2, 2, true, true
23, 3, 5741, 36, 3, 1, true, true
31, 4, 5743, 28, 4, 0, true, true
39, 5, 5743, 26, 3, 0, true, true
51, 7, 5743, 8, 3, 1, true, true
58, 8, 5743, 6, 3, 1, true, true
65, 9, 5743, 2, 1, 1, true, true
89, 13, 5749, 8, 2, 2, true, true
101, 15, 5749, 6, 1, 3, true, true
130, 19, 5749, 0, 0, 4, true, true
137, 20, 5751, 2, 1, 2, true, true
150, 22, 5753, 4, 2, 1, true, true
181, 27, 5753, 2, 1, 4, true, true
231, 33, 5766, 15, 2, 4, true, true
303, 43, 5766, 13, 1, 8, true, true
343, 50, 5816, 60, 2, 11, true, true
355, 52, 5819, 62, 3, 11, true, true
361, 53, 5819, 53, 2, 11, true, true
383, 57, 5827, 61, 3, 7, true, true
394, 59, 5827, 53, 2, 7, true, true
445, 67, 5829, 54, 3, 5, true, true
511, 78, 5844, 46, 4, 6, true, true
549, 84, 5844, 44, 3, 6, true, true
604, 91, 6106, 306, 4, 5, true, true
614, 92, 6107, 307, 5, 5, true, true
692, 104, 6112, 312, 6, 5, true, true
729, 110, 6612, 809, 7, 4, true, true
780, 118, 6612, 808, 6, 5, true, true
888, 136, 6660, 427, 7, 4, true, true
927, 142, 6661, 428, 8, 2, true, true
1199, 183, 6661, 427, 7, 7, true, true
1223, 187, 6669, 429, 8, 5, true, true
1503, 228, 6669, 428, 7, 7, true, true
1511, 229, 6669, 420, 6, 7, true, true
1869, 281, 6669, 415, 5, 13, true, true
2001, 301, 6670, 416, 6, 16, true, true
2036, 307, 6671, 416, 7, 14, true, true
2064, 311, 6675, 393, 8, 13, true, true
2255, 334, 6676, 393, 9, 13, true, true
2321, 343, 6678, 395, 10, 11, true, true
2617, 385, 6678, 394, 9, 13, true, true
3758, 404, 7220, 912, 10, 12, true, true
4060, 440, 7220, 911, 9, 16, true, true
4268, 468, 7221, 911, 10, 20, true, true
4367, 481, 7226, 916, 11, 19, true, true
4383, 483, 7230, 920, 12, 16, true, true
4477, 495, 7231, 921, 13, 14, true, true
4487, 496, 7231, 912, 12, 14, true, true
4556, 504, 7231, 911, 11, 14, true, true
4742, 524, 7231, 907, 10, 14, true, true
5172, 576, 7232, 908, 11, 12, true, true
5214, 581, 7234, 910, 12, 12, true, true
5232, 583, 7235, 870, 13, 11, true, true
5385, 600, 7235, 869, 12, 12, true, true
6686, 632, 7236, 325, 13, 11, true, true
6837, 645, 7236, 324, 12, 12, true, true
6938, 655, 7236, 323, 11, 12, true, true
7549, 722, 7376, 462, 12, 12, true, true
8403, 812, 7399, 485, 13, 14, true, true
8570, 829, 7399, 484, 12, 14, true, true
8976, 871, 7432, 517, 13, 13, true, true
9504, 923, 7463, 547, 14, 12, true, true
9538, 926, 7464, 545, 15, 10, true, true
9613, 933, 7558, 636, 16, 9, true, true
9625, 934, 7559, 637, 17, 8, true, true
9991, 968, 7559, 632, 16, 9, true, true
11702, 1140, 7560, 633, 17, 10, true, true
11767, 1146, 7561, 632, 18, 8, true, true
11871, 1156, 7692, 755, 19, 8, true, true
13256, 1197, 7694, 757, 20, 9, true, true
14029, 1269, 7694, 755, 18, 10, true, true
14593, 1331, 7713, 774, 19, 8, true, true
16327, 1522, 7729, 771, 20, 9, true, true
16996, 1593, 7729, 752, 19, 9, true, true
17166, 1610, 7732, 754, 20, 7, true, true
19991, 1918, 7743, 757, 21, 12, true, true
20007, 1920, 7743, 755, 20, 12, true, true
20431, 1974, 7743, 754, 19, 12, true, true
20832, 2026, 7743, 753, 18, 12, true, true
22043, 2050, 7743, 752, 17, 12, true, true
22632, 2117, 7931, 921, 18, 12, true, true
23853, 2259, 7931, 908, 17, 15, true, true
24350, 2308, 7931, 905, 16, 15, true, true
25431, 2316, 8713, 1685, 17, 14, true, true
25831, 2360, 8714, 1686, 18, 12, true, true
27173, 2506, 8791, 1723, 19, 12, true, true
28997, 2702, 8791, 1722, 18, 14, true, true
29950, 2815, 8988, 1739, 19, 14, true, true
29961, 2816, 8989, 1672, 20, 13, true, true
32732, 3105, 8989, 1658, 19, 14, true, true
35190, 3361, 10267, 2678, 20, 14, true, true
36229, 3467, 10466, 2877, 21, 15, true, true
36714, 3514, 10466, 2874, 20, 15, true, true
36800, 3521, 10467, 2861, 21, 12, true, true
37423, 3573, 10481, 2874, 22, 11, true, true
37437, 3574, 10482, 2875, 23, 10, true, true
37561, 3584, 10482, 2874, 22, 10, true, true
43450, 3972, 10482, 2873, 21, 12, true, true
45257, 4102, 10482, 2864, 20, 14, true, true
46185, 4170, 10483, 2865, 21, 14, true, true
47707, 4285, 10506, 2887, 22, 15, true, true
48407, 4339, 10506, 2886, 21, 15, true, true
48656, 4360, 10506, 2872, 21, 15, true, true
54360, 4733, 10506, 2861, 20, 17, true, true
55592, 4748, 10551, 2895, 21, 16, true, true
57604, 4830, 10567, 2880, 22, 15, true, true
63583, 5208, 10911, 3223, 23, 16, true, true
63602, 5209, 10912, 3224, 24, 14, true, true
70535, 5503, 10913, 3225, 25, 12, true, true
73137, 5642, 10913, 3224, 24, 14, true, true
88670, 6637, 10923, 3233, 24, 18, true, true
90322, 6757, 10926, 3032, 25, 21, true, true
93569, 6978, 10926, 3015, 25, 24, true, true
96737, 7219, 10929, 2996, 26, 23, true, true
97900, 7333, 10929, 2995, 25, 26, true, true
100746, 7614, 10930, 2805, 26, 26, true, true
100956, 7634, 10930, 2804, 26, 26, true, true
101017, 7639, 10930, 2796, 25, 26, true, true
106431, 7989, 10931, 2599, 26, 24, true, true
107215, 8049, 10931, 2589, 25, 24, true, true
107270, 8053, 10931, 2586, 25, 24, true, true
110379, 8228, 10931, 2583, 25, 27, true, true
113935, 8536, 10931, 2582, 24, 29, true, true
113956, 8538, 10934, 2576, 25, 27, true, true
119908, 9027, 10935, 2555, 26, 30, true, true
126431, 9568, 10946, 2559, 27, 28, true, true
128669, 9676, 10998, 2610, 28, 26, true, true
131295, 9795, 10998, 2596, 27, 26, true, true
132663, 9870, 10998, 2595, 26, 27, true, true
134749, 10001, 10998, 2258, 25, 29, true, true
134766, 10002, 10998, 2257, 24, 29, true, true
154758, 11208, 11012, 2264, 25, 32, true, true
155659, 11272, 11021, 2270, 26, 32, true, true
156483, 11334, 11025, 2262, 27, 30, true, true
156499, 11335, 11025, 2261, 26, 30, true, true
164429, 11879, 11026, 2262, 27, 32, true, true
164908, 11915, 11027, 2263, 28, 30, true, true
168868, 12117, 11027, 2252, 27, 32, true, true
171966, 12262, 11049, 2274, 28, 29, true, true
176154, 12426, 11054, 2275, 29, 28, true, true
181514, 12753, 11054, 2274, 28, 29, true, true
190393, 13164, 11062, 2282, 29, 27, true, true
193693, 13304, 11063, 2189, 30, 25, true, true
194446, 13336, 11063, 2188, 29, 25, true, true
198527, 13465, 11064, 2187, 30, 21, true, true
199195, 13495, 11090, 2213, 31, 19, true, true
206313, 13841, 11103, 2226, 32, 17, true, true
209631, 13954, 11103, 2224, 31, 17, true, true
221139, 14488, 11104, 2223, 31, 17, true, true
222392, 14500, 11114, 2233, 32, 16, true, true
223093, 14531, 11114, 2211, 31, 18, true, true
223783, 14562, 11114, 2210, 30, 18, true, true
226634, 14690, 11117, 2199, 31, 15, true, true
238647, 15221, 11117, 2198, 30, 15, true, true
255266, 15988, 11117, 2195, 29, 18, true, true
263863, 16346, 11118, 2192, 29, 18, true, true
264126, 16357, 11118, 2180, 29, 18, true, true
270210, 16598, 11118, 2177, 28, 18, true, true
271907, 16662, 11121, 2180, 29, 17, true, true
284988, 17114, 11121, 2179, 29, 17, true, true
286367, 17127, 11138, 2186, 30, 16, true, true
287358, 17171, 11139, 2187, 31, 15, true, true
299096, 17708, 11142, 2190, 32, 15, true, true
303386, 17892, 11142, 2186, 31, 15, true, true
323131, 18711, 11142, 915, 30, 19, true, true
329191, 18963, 11142, 914, 29, 20, true, true
346371, 19716, 11142, 913, 28, 22, true, true
362128, 20324, 11143, 914, 29, 26, true, true
367584, 20518, 11143, 913, 28, 26, true, true
411143, 22222, 11151, 910, 29, 31, true, true
414483, 22361, 11151, 909, 28, 31, true, true
417766, 22491, 11151, 905, 28, 31, true, true
442147, 23529, 11151, 904, 27, 31, true, true
449585, 23779, 11152, 905, 28, 29, true, true
454265, 23928, 11299, 1050, 29, 27, true, true
454293, 23929, 11300, 1051, 30, 24, true, true
460912, 24198, 11300, 1050, 29, 26, true, true
465069, 24377, 11300, 1049, 29, 26, true, true
465306, 24387, 11301, 1050, 30, 24, true, true
485350, 25150, 11301, 1047, 29, 25, true, true
495795, 25507, 11301, 1038, 28, 26, true, true
555806, 27863, 11301, 1038, 28, 36, true, false
563665, 28181, 11303, 1037, 28, 35, true, true
582082, 29030, 11303, 890, 27, 38, true, true
582112, 29031, 11303, 889, 26, 38, true, true
613245, 30502, 11306, 892, 27, 28, true, true
632941, 31421, 11308, 886, 26, 28, true, true
641661, 31794, 11308, 885, 25, 30, true, true
648045, 32047, 11308, 882, 24, 30, true, true
656569, 32459, 11312, 886, 25, 22, true, true
685787, 33975, 11312, 879, 24, 24, true, true
693650, 34437, 11365, 932, 25, 20, true, true
718077, 35958, 11365, 931, 24, 22, true, true
721851, 36216, 11407, 972, 25, 23, true, true
727215, 36483, 11412, 923, 24, 22, true, true
744635, 37392, 11412, 919, 22, 22, true, true
762283, 38254, 11412, 866, 21, 22, true, true
773969, 38921, 11412, 865, 20, 22, true, true
787494, 39640, 11413, 866, 21, 20, true, true
798021, 40259, 11548, 1001, 22, 18, true, true
804393, 40565, 11551, 997, 23, 15, true, true
810840, 40919, 11551, 996, 22, 15, true, true
833542, 41884, 11551, 992, 21, 15, true, true
852886, 42754, 11553, 994, 22, 16, true, true
874746, 43882, 11553, 993, 21, 16, true, true
898640, 45067, 11553, 990, 20, 16, true, true
917320, 45827, 11553, 977, 19, 18, true, true
948013, 47296, 11553, 975, 18, 20, true, true
962979, 47892, 11560, 982, 19, 19, true, true
1032928, 51516, 11563, 965, 20, 20, true, true
1042324, 52103, 11563, 962, 19, 20, true, true
1052306, 52706, 11564, 963, 20, 17, true, true
1086084, 54341, 11831, 1230, 21, 19, true, true
1088392, 54403, 11835, 1234, 22, 17, true, true
1092034, 54557, 11861, 1260, 23, 16, true, true
1239364, 61942, 11862, 1236, 24, 18, true, true
1266676, 63564, 11862, 1235, 23, 18, true, true
1314815, 66347, 11863, 1236, 24, 20, true, true
1319150, 66597, 11869, 1241, 25, 19, true, true
1375004, 69934, 11870, 1147, 26, 23, true, true
1395687, 71193, 11870, 1012, 25, 25, true, true
1412562, 72053, 11932, 1074, 26, 23, true, true
1414372, 72146, 11933, 809, 27, 22, true, true
1556791, 80909, 11933, 745, 26, 26, true, true
1556810, 80910, 11933, 744, 25, 26, true, true
1558139, 81004, 11933, 743, 25, 26, true, true
1620931, 84623, 11934, 744, 26, 26, true, true
1626116, 84893, 11935, 741, 27, 24, true, true
1720903, 90650, 11935, 679, 26, 26, true, true
1721880, 90719, 11936, 680, 27, 25, true, true
1777600, 94540, 11936, 679, 26, 25, true, true
1817424, 97509, 11936, 675, 25, 27, true, true
1853012, 99477, 11938, 677, 26, 28, true, true
1854355, 99494, 11938, 674, 25, 28, true, true
1950257, 105969, 11938, 673, 24, 36, true, true
1958271, 106386, 11940, 675, 25, 36, true, true
1962294, 106599, 11940, 674, 24, 36, true, true
1977808, 107508, 11953, 271, 25, 35, true, true
1982440, 107731, 11954, 272, 26, 34, true, true
1995738, 108502, 11990, 308, 27, 33, true, true
2021911, 110121, 11990, 307, 26, 34, true, true
2030586, 110562, 11990, 303, 26, 34, true, true
