time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
6, 1, 955, 955, 1, 1, true, true
172, 2, 1198, 506, 2, 2, true, true
178, 3, 1225, 342, 3, 3, true, true
181, 4, 1261, 345, 4, 3, true, true
187, 5, 1262, 345, 5, 3, true, true
195, 6, 1315, 363, 4, 4, true, true
201, 7, 1318, 366, 5, 5, true, true
207, 8, 1318, 362, 5, 6, true, true
214, 9, 1321, 349, 6, 7, true, true
217, 10, 1321, 348, 6, 9, true, true
220, 11, 1322, 318, 7, 9, true, true
226, 12, 1322, 317, 6, 10, true, true
230, 13, 1385, 279, 6, 10, true, true
234, 14, 1447, 280, 7, 11, true, true
248, 16, 1470, 293, 8, 12, true, true
429, 17, 1486, 237, 9, 12, true, true
438, 18, 1487, 235, 10, 11, true, true
626, 19, 1560, 278, 10, 10, true, true
629, 20, 1566, 241, 11, 11, true, true
630, 21, 1573, 227, 12, 10, true, true
634, 22, 1573, 212, 12, 10, true, true
814, 23, 1580, 201, 13, 10, true, true
821, 24, 1580, 160, 12, 10, true, true
828, 25, 1582, 162, 13, 9, true, true
831, 26, 1586, 162, 14, 6, true, true
832, 27, 1587, 163, 15, 5, true, true
835, 28, 1587, 159, 14, 5, true, true
843, 29, 1588, 160, 15, 6, true, true
862, 33, 1588, 158, 15, 8, true, true
865, 34, 1597, 160, 16, 6, true, true
868, 35, 1597, 159, 15, 7, true, true
872, 36, 1597, 158, 14, 9, true, true
877, 37, 1597, 105, 13, 9, true, true
893, 39, 1597, 103, 13, 10, true, true
896, 40, 1601, 107, 14, 9, true, true
905, 41, 1601, 106, 13, 10, true, true
914, 42, 1601, 91, 13, 10, true, true
918, 43, 1601, 85, 12, 12, true, true
920, 44, 1601, 80, 12, 12, true, true
927, 46, 1602, 81, 13, 12, true, true
961, 52, 1602, 80, 13, 16, true, true
1146, 53, 1602, 73, 13, 17, true, true
1325, 57, 1603, 74, 14, 17, true, true
1328, 58, 1612, 83, 15, 16, true, true
1342, 61, 1614, 85, 16, 16, true, true
1342, 62, 1625, 76, 15, 15, true, true
1369, 67, 1625, 75, 15, 17, true, true
1377, 69, 1626, 74, 16, 16, true, true
1397, 71, 1629, 74, 15, 16, true, true
1405, 72, 1630, 75, 16, 15, true, true
1423, 74, 1630, 74, 15, 15, true, true
1432, 75, 1630, 73, 14, 17, true, true
1451, 77, 1631, 70, 14, 14, true, true
1475, 81, 1633, 72, 15, 13, true, true
1506, 85, 1640, 78, 15, 15, true, true
1509, 86, 1640, 77, 14, 15, true, true
1773, 87, 1640, 70, 14, 15, true, true
2373, 88, 1640, 46, 13, 15, true, true
2560, 92, 1640, 45, 13, 16, true, true
2577, 94, 1647, 49, 14, 15, true, true
2629, 102, 1647, 48, 13, 16, true, true
2633, 103, 1649, 50, 14, 13, true, true
2635, 104, 1652, 53, 15, 12, true, true
2652, 106, 1655, 56, 16, 11, true, true
2836, 107, 1658, 53, 17, 10, true, true
2896, 115, 1658, 52, 17, 12, true, true
2922, 118, 1659, 51, 17, 11, true, true
2925, 119, 1659, 44, 17, 11, true, true
2962, 124, 1659, 43, 16, 11, true, true
2966, 125, 1660, 44, 17, 10, true, true
2985, 127, 1661, 45, 18, 10, true, true
3089, 141, 1661, 43, 17, 11, true, true
3101, 143, 1661, 41, 16, 11, true, true
3327, 144, 1668, 47, 17, 7, true, true
3352, 148, 1668, 46, 16, 8, true, true
3357, 149, 1669, 47, 17, 7, true, true
3365, 150, 1669, 45, 16, 7, true, true
3588, 157, 1676, 52, 17, 9, true, true
3636, 164, 1688, 64, 18, 9, true, true
3684, 170, 1689, 64, 18, 7, true, true
3927, 177, 1689, 59, 18, 8, true, true
4261, 198, 1689, 55, 16, 10, true, true
4499, 207, 1689, 54, 15, 11, true, true
4808, 223, 1689, 51, 14, 14, true, true
5300, 241, 1689, 42, 13, 17, true, true
5334, 247, 1689, 39, 12, 18, true, true
5380, 254, 1690, 40, 13, 17, true, true
5672, 269, 1690, 38, 13, 17, true, true
5711, 276, 1690, 37, 12, 18, true, true
5946, 288, 1690, 35, 11, 22, true, true
5985, 296, 1692, 37, 12, 20, true, true
6182, 304, 1703, 48, 13, 20, true, true
6230, 313, 1706, 51, 14, 20, true, true
6233, 314, 1710, 55, 15, 20, true, true
6647, 322, 1710, 54, 14, 20, true, true
6836, 324, 1713, 57, 15, 19, true, true
7409, 331, 1713, 56, 15, 20, true, true
7664, 338, 1714, 57, 16, 18, true, true
7924, 351, 1720, 63, 17, 21, true, true
7955, 358, 1724, 67, 18, 19, true, true
8001, 367, 1724, 65, 17, 19, true, true
8374, 407, 1725, 64, 16, 22, true, true
8854, 421, 1729, 68, 17, 23, true, true
9115, 430, 1730, 69, 18, 22, true, true
9918, 451, 1730, 66, 17, 24, true, true
10156, 463, 1737, 73, 18, 23, true, true
10180, 467, 1737, 69, 17, 23, true, true
10325, 489, 1738, 61, 18, 17, true, true
10459, 513, 1738, 60, 17, 18, true, true
10481, 518, 1738, 59, 16, 19, true, true
10790, 545, 1742, 57, 17, 21, true, true
11019, 554, 1744, 59, 18, 22, true, true
11039, 558, 1744, 58, 17, 22, true, true
11058, 561, 1745, 59, 18, 16, true, true
11103, 568, 1746, 58, 19, 15, true, true
12400, 602, 1749, 61, 20, 14, true, true
12906, 624, 1749, 60, 19, 16, true, true
14187, 678, 1750, 60, 20, 18, true, true
14201, 680, 1754, 64, 21, 17, true, true
14225, 683, 1754, 63, 20, 17, true, true
14787, 728, 1754, 56, 19, 18, true, true
15112, 747, 1754, 53, 18, 18, true, true
15396, 757, 1754, 49, 17, 19, true, true
15604, 763, 1761, 54, 18, 18, true, true
16002, 770, 1766, 54, 18, 17, true, true
17443, 833, 1767, 54, 18, 16, true, true
17642, 838, 1767, 53, 17, 16, true, true
18372, 867, 1768, 52, 17, 13, true, true
18578, 872, 1768, 48, 16, 13, true, true
19673, 926, 1768, 47, 15, 16, true, true
21391, 991, 1787, 66, 16, 16, true, true
22204, 1037, 1791, 70, 17, 17, true, true
22474, 1058, 1792, 71, 18, 14, true, true
22732, 1073, 1792, 70, 17, 15, true, true
23133, 1075, 1797, 70, 18, 12, true, true
23659, 1099, 1797, 67, 18, 12, true, true
23845, 1104, 1797, 66, 17, 12, true, true
26541, 1228, 1799, 68, 18, 15, true, true
26948, 1235, 1800, 69, 19, 14, true, true
27978, 1281, 1800, 68, 18, 14, true, true
28456, 1291, 1800, 67, 17, 14, true, true
29106, 1314, 1804, 71, 18, 14, true, true
29275, 1315, 1804, 70, 17, 14, true, true
29900, 1361, 1804, 69, 16, 17, true, true
31573, 1442, 1804, 68, 15, 19, true, true
32775, 1498, 1805, 68, 15, 23, true, true
32808, 1504, 1805, 67, 14, 23, true, true
34010, 1570, 1806, 68, 15, 20, true, true
34203, 1574, 1810, 72, 16, 20, true, true
34850, 1592, 1810, 69, 15, 21, true, true
37971, 1757, 1811, 70, 16, 21, true, true
38929, 1786, 1812, 71, 17, 20, true, true
39124, 1819, 1812, 70, 16, 22, true, true
44310, 2041, 1814, 59, 17, 24, true, true
46204, 2139, 1816, 60, 17, 29, true, true
46247, 2149, 1817, 61, 18, 26, true, true
46280, 2155, 1817, 59, 17, 26, true, true
49704, 2323, 1819, 61, 18, 24, true, true
49817, 2340, 1820, 62, 19, 23, true, true
52496, 2455, 1822, 60, 20, 20, true, true
55499, 2627, 1823, 61, 21, 13, true, true
55715, 2637, 1823, 59, 20, 13, true, true
56359, 2652, 1823, 58, 19, 13, true, true
57596, 2776, 1823, 57, 18, 14, true, true
58126, 2811, 1824, 56, 19, 12, true, true
59257, 2885, 1824, 55, 18, 13, true, true
59445, 2917, 1827, 58, 19, 10, true, true
60271, 2959, 1827, 57, 19, 10, true, true
63679, 3076, 1827, 56, 18, 10, true, true
64389, 3109, 1829, 58, 19, 9, true, true
64765, 3144, 1830, 59, 20, 6, true, true
64818, 3154, 1832, 61, 21, 3, true, true
65352, 3213, 1832, 60, 20, 3, true, true
66361, 3250, 1832, 56, 19, 3, true, true
67733, 3322, 1832, 52, 18, 4, true, true
73210, 3565, 1832, 51, 17, 5, true, true
76125, 3669, 1832, 49, 16, 5, true, true
79250, 3826, 1837, 53, 17, 3, true, true
83343, 4008, 1841, 54, 18, 3, true, true
88728, 4259, 1841, 52, 17, 3, true, true
88968, 4264, 1841, 51, 16, 3, true, true
89397, 4274, 1841, 48, 15, 3, true, true
93499, 4447, 1841, 47, 14, 4, true, true
95871, 4635, 1841, 45, 13, 5, true, true
117562, 5592, 1841, 44, 12, 11, true, true
118101, 5624, 1842, 45, 13, 11, true, true
124118, 5917, 1842, 35, 13, 13, true, true
135199, 6396, 1842, 31, 12, 16, true, true
140419, 6633, 1858, 47, 13, 14, true, true
149389, 7064, 1858, 43, 13, 16, true, true
152185, 7193, 1858, 41, 12, 17, true, true
163320, 7739, 1859, 42, 13, 19, true, true
168563, 8038, 1859, 39, 12, 21, true, true
176678, 8420, 1859, 37, 11, 24, true, true
188087, 8878, 1860, 38, 12, 22, true, true
189319, 8954, 1861, 39, 13, 22, true, true
198810, 9417, 1861, 38, 12, 24, true, true
205051, 9768, 1862, 39, 13, 24, true, true
207430, 9940, 1863, 40, 14, 22, true, true
208750, 10005, 1863, 38, 13, 22, true, true
214443, 10280, 1863, 36, 12, 22, true, true
215256, 10316, 1864, 37, 13, 20, true, true
227779, 10913, 1870, 39, 13, 21, true, true
229987, 11026, 1870, 38, 12, 21, true, true
231717, 11086, 1872, 40, 13, 20, true, true
234157, 11231, 1872, 39, 13, 20, true, true
241140, 11546, 1872, 38, 12, 24, true, true
245804, 11734, 1872, 37, 11, 25, true, true
249715, 11907, 1875, 37, 12, 24, true, true
250789, 11967, 1878, 40, 13, 23, true, true
254337, 12156, 1878, 37, 12, 24, true, true
265493, 12612, 1880, 39, 13, 24, true, true
277742, 13242, 1880, 38, 12, 28, true, true
282037, 13474, 1882, 40, 13, 28, true, true
294828, 14099, 1894, 52, 14, 26, true, true
299716, 14322, 1898, 56, 15, 25, true, true
301947, 14409, 1899, 55, 16, 24, true, true
302086, 14429, 1899, 53, 15, 24, true, true
304517, 14519, 1901, 55, 16, 21, true, true
325920, 15610, 1901, 53, 15, 41, true, true
333821, 15968, 1903, 54, 16, 39, true, true
344864, 16597, 1904, 55, 17, 45, true, true
