time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
16, 1, 9336, 9336, 1, 1, true, true
29, 2, 9545, 2186, 2, 2, true, true
38, 3, 10058, 2008, 3, 3, true, true
47, 4, 10200, 2066, 4, 4, true, true
60, 5, 10923, 2775, 5, 5, true, true
71, 6, 11383, 2112, 6, 6, true, true
81, 7, 12772, 2995, 7, 7, true, true
90, 8, 12837, 2994, 8, 8, true, true
99, 9, 12892, 3040, 9, 9, true, true
109, 10, 13090, 2674, 10, 10, true, true
119, 11, 13115, 2635, 11, 11, true, true
129, 12, 13116, 2636, 12, 11, true, true
139, 13, 13125, 2622, 12, 12, true, true
148, 14, 13480, 2970, 13, 13, true, true
156, 15, 13612, 3018, 14, 13, true, true
167, 16, 13780, 2952, 15, 14, true, true
178, 17, 13835, 2369, 16, 15, true, true
187, 18, 14089, 2579, 17, 15, true, true
202, 19, 14107, 2558, 18, 16, true, true
222, 20, 14123, 2574, 19, 17, true, true
232, 21, 14228, 2501, 19, 18, true, true
243, 22, 14236, 2485, 19, 19, true, true
252, 23, 14297, 2545, 20, 20, true, true
280, 25, 14328, 2575, 21, 23, true, true
286, 26, 14446, 2679, 22, 24, true, true
301, 27, 14549, 2693, 23, 25, true, true
311, 28, 14988, 3032, 24, 26, true, true
321, 29, 15506, 3534, 25, 27, true, true
360, 31, 15522, 3533, 26, 29, true, true
390, 32, 15533, 3387, 27, 30, true, true
1154, 33, 16231, 3727, 28, 31, true, true
1182, 34, 16232, 3718, 29, 32, true, true
1218, 36, 16257, 3705, 30, 34, true, true
1231, 37, 16356, 3785, 31, 34, true, true
1259, 38, 16502, 3692, 31, 33, true, true
1287, 39, 16563, 3744, 32, 33, true, true
1306, 40, 16618, 3745, 33, 33, true, true
1319, 41, 16751, 3685, 34, 34, true, true
1336, 42, 16778, 3696, 35, 31, true, true
1355, 43, 17118, 3791, 36, 31, true, true
1382, 44, 17384, 3736, 37, 31, true, true
1407, 45, 17436, 3628, 38, 31, true, true
1423, 46, 17447, 3422, 39, 31, true, true
1441, 47, 17696, 3530, 39, 31, true, true
1469, 48, 17729, 3548, 40, 31, true, true
1484, 49, 17745, 3485, 41, 30, true, true
1536, 50, 17745, 3480, 41, 31, true, true
1561, 51, 17884, 3587, 42, 32, true, true
1593, 52, 18001, 3480, 43, 33, true, true
1612, 53, 18028, 3459, 44, 34, true, true
1628, 54, 18040, 3460, 45, 34, true, true
1640, 55, 18092, 3460, 46, 35, true, true
1676, 56, 18221, 3589, 47, 36, true, true
1755, 58, 18228, 3542, 48, 39, true, true
1771, 59, 18313, 3439, 48, 40, true, true
1786, 60, 18914, 4016, 49, 40, true, true
