time, #execs, #covered, #singletons, #sglt_clusts, #foundnew, done, update?
3, 1, 1910, 1910, 1, 1, true, true
28, 2, 2060, 455, 2, 2, true, true
30, 3, 2131, 419, 3, 3, true, true
33, 4, 2134, 352, 4, 2, true, true
35, 5, 2158, 331, 5, 3, true, true
37, 6, 2158, 330, 5, 5, true, true
42, 8, 2159, 325, 5, 5, true, true
44, 9, 2238, 384, 6, 5, true, true
47, 10, 3084, 1210, 6, 2, true, true
50, 11, 3084, 1206, 6, 3, true, true
53, 12, 3084, 1205, 5, 3, true, true
61, 16, 3088, 1137, 6, 1, true, true
65, 17, 3088, 866, 5, 1, true, true
68, 18, 3089, 867, 6, 1, true, true
71, 19, 3089, 865, 4, 1, true, true
77, 21, 3089, 861, 3, 2, true, true
101, 33, 3089, 857, 3, 5, true, true
105, 35, 3152, 897, 4, 4, true, true
119, 41, 3153, 898, 5, 7, true, true
122, 43, 3153, 897, 4, 8, true, true
137, 52, 3161, 905, 5, 8, true, true
150, 58, 3166, 864, 6, 11, true, true
166, 65, 3174, 855, 6, 11, true, true
180, 71, 3175, 856, 7, 12, true, true
187, 74, 3176, 857, 8, 11, true, true
195, 77, 3176, 854, 8, 12, true, true
214, 86, 3177, 855, 9, 14, true, true
226, 91, 3177, 854, 8, 15, true, true
238, 96, 3177, 853, 7, 15, true, true
255, 104, 3194, 841, 7, 17, true, true
288, 107, 3492, 944, 8, 17, true, true
291, 108, 3497, 668, 9, 16, true, true
303, 113, 3712, 782, 9, 16, true, true
314, 118, 3712, 781, 8, 18, true, true
335, 128, 3963, 1007, 9, 20, true, true
338, 129, 3963, 1003, 9, 21, true, true
344, 131, 4095, 744, 10, 20, true, true
349, 133, 4095, 739, 9, 20, true, true
354, 134, 4191, 706, 10, 19, true, true
366, 138, 4191, 693, 10, 19, true, true
374, 141, 4193, 694, 11, 19, true, true
389, 147, 4193, 693, 11, 20, true, true
401, 152, 4194, 694, 12, 17, true, true
416, 158, 4194, 693, 11, 20, true, true
428, 163, 4207, 570, 12, 20, true, true
464, 171, 4210, 559, 13, 21, true, true
480, 177, 4212, 561, 14, 21, true, true
541, 201, 4244, 578, 15, 28, true, true
543, 202, 4245, 578, 15, 27, true, true
560, 206, 4282, 594, 16, 27, true, true
575, 212, 4284, 596, 17, 25, true, true
602, 223, 4423, 663, 18, 25, true, true
631, 234, 4427, 667, 19, 25, true, true
635, 235, 4427, 665, 18, 25, true, true
648, 238, 4507, 391, 19, 24, true, true
683, 249, 4516, 337, 19, 25, true, true
698, 254, 4534, 355, 20, 25, true, true
702, 255, 4793, 600, 21, 24, true, true
709, 256, 4793, 597, 20, 24, true, true
712, 257, 4824, 627, 21, 23, true, true
729, 261, 4856, 634, 22, 22, true, true
830, 278, 4856, 630, 21, 25, true, true
898, 296, 4856, 629, 20, 27, true, true
959, 311, 4856, 627, 19, 29, true, true
974, 314, 4857, 625, 19, 28, true, true
979, 315, 4859, 627, 20, 26, true, true
1021, 321, 4868, 629, 21, 25, true, true
1050, 327, 4988, 740, 22, 24, true, true
1093, 338, 5358, 833, 23, 24, true, true
1153, 353, 5413, 886, 24, 25, true, true
1156, 354, 5413, 885, 24, 25, true, true
1166, 356, 5418, 883, 25, 24, true, true
1176, 358, 5465, 890, 26, 22, true, true
1191, 362, 5474, 857, 27, 23, true, true
1205, 365, 5474, 853, 26, 24, true, true
1245, 374, 5475, 854, 27, 25, true, true
1251, 375, 5477, 834, 28, 24, true, true
1270, 378, 5479, 828, 28, 22, true, true
1299, 383, 5480, 822, 29, 21, true, true
1424, 408, 5494, 821, 29, 23, true, true
1446, 412, 5501, 813, 29, 22, true, true
1555, 435, 5507, 798, 30, 21, true, true
1692, 457, 5516, 797, 31, 24, true, true
1723, 462, 5517, 798, 32, 22, true, true
1882, 489, 5517, 797, 31, 24, true, true
1915, 495, 5519, 799, 32, 19, true, true
1974, 506, 5519, 797, 30, 21, true, true
2044, 515, 5519, 796, 30, 23, true, true
2201, 539, 5519, 787, 30, 23, true, true
2217, 542, 5519, 785, 29, 23, true, true
2261, 550, 5523, 779, 29, 22, true, true
2323, 562, 5523, 777, 29, 22, true, true
2343, 566, 5523, 775, 28, 23, true, true
2527, 589, 5524, 771, 29, 27, true, true
2578, 597, 5527, 767, 30, 25, true, true
2589, 599, 5580, 758, 31, 22, true, true
2853, 652, 5583, 758, 32, 24, true, true
2889, 661, 5583, 757, 32, 24, true, true
3006, 683, 5662, 830, 33, 24, true, true
3044, 691, 5662, 828, 32, 25, true, true
3160, 718, 5664, 817, 32, 24, true, true
3178, 722, 5699, 852, 33, 22, true, true
3217, 730, 5699, 850, 33, 22, true, true
3224, 731, 5699, 847, 32, 22, true, true
3313, 745, 5804, 760, 33, 20, true, true
3348, 752, 5804, 745, 33, 20, true, true
3429, 773, 5804, 744, 32, 20, true, true
3448, 777, 5804, 743, 32, 20, true, true
3542, 797, 5813, 717, 33, 19, true, true
3621, 815, 5827, 727, 34, 19, true, true
3887, 872, 5829, 727, 35, 20, true, true
3989, 892, 5831, 729, 36, 21, true, true
4020, 897, 5832, 730, 37, 20, true, true
4282, 945, 5832, 728, 36, 21, true, true
4419, 971, 5833, 729, 37, 22, true, true
4624, 995, 5834, 720, 38, 21, true, true
4720, 1007, 5834, 719, 38, 22, true, true
4789, 1018, 5904, 785, 38, 25, true, true
4814, 1021, 5904, 780, 38, 26, true, true
5295, 1088, 5904, 759, 37, 31, true, true
5511, 1125, 5905, 751, 38, 30, true, true
5616, 1141, 5906, 750, 38, 28, true, true
5636, 1144, 5907, 751, 39, 27, true, true
5657, 1148, 5912, 751, 39, 27, true, true
5707, 1155, 5913, 752, 40, 25, true, true
5870, 1173, 5915, 742, 40, 24, true, true
6149, 1208, 5915, 740, 39, 25, true, true
6224, 1221, 5915, 739, 38, 25, true, true
6245, 1225, 5969, 545, 38, 23, true, true
6374, 1244, 5969, 527, 37, 23, true, true
6473, 1262, 5971, 529, 38, 22, true, true
6705, 1292, 5978, 533, 39, 21, true, true
6982, 1338, 5982, 537, 40, 21, true, true
7025, 1344, 5982, 529, 39, 21, true, true
8150, 1484, 5985, 515, 39, 25, true, true
