subject,node_select,index,total_edges,execs_per_sec,execs_done,container_name,filename,start_time,last_update,run_time,fuzzer_pid,cycles_done,cycles_wo_finds,time_wo_finds,fuzz_time,calibration_time,cmplog_time,sync_time,trim_time,execs_ps_last_min,corpus_count,corpus_favored,corpus_found,corpus_imported,corpus_variable,max_depth,cur_item,pending_favs,pending_total,stability,bitmap_cvg,saved_crashes,saved_hangs,last_find,last_crash,last_hang,execs_since_crash,exec_timeout,slowest_exec_ms,peak_rss_mb,cpu_affinity,edges_found,var_byte_count,havoc_expansion,auto_dict_entries,testcache_size,testcache_count,testcache_evict,afl_banner,afl_version,target_mode,command_line
freetype2,yes,0,26553,399.57,97102870,angry_bardeen,angry_bardeen_fuzzer_stats,1740864971,1741107991,243019,11,6326,1,320,239430,24,3564,0,0,276.72,15824,1205,15822,0,2119,87,15641,0,0,99.98,35.39,0,0,1741107870,0,0,97102870,5,0,0,-1,9398,2,0,8695,2086088,445,14763,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -z -P explore -V 17280000 -- /out/ftfuzzer 2147483647
freetype2,yes,1,26553,443.38,85856146,pensive_dewdney,pensive_dewdney_fuzzer_stats,1740914409,1741108049,193640,11,6090,0,424,189075,22,4541,0,0,375.12,14033,1088,14031,0,2270,50,13975,0,0,99.98,33.11,0,0,1741108021,0,0,85856146,5,0,0,-1,8792,2,0,8097,2083932,343,13075,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -z -P explore -V 17280000 -- /out/ftfuzzer 2147483647
freetype2,yes,2,26553,433.5,83924662,dazzling_matsumoto,dazzling_matsumoto_fuzzer_stats,1740914415,1741108014,193598,11,5798,0,378,190756,30,2810,0,0,334.4,14989,1193,14987,0,2147,74,8916,0,1,99.98,35.41,0,0,1741107994,0,0,83924662,5,0,0,-1,9403,2,0,8057,2065642,124,14614,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -z -P explore -V 17280000 -- /out/ftfuzzer 2147483647
freetype2,yes,3,26553,421.82,81665277,mystifying_black,mystifying_black_fuzzer_stats,1740914417,1741108020,193603,11,5297,1,679,188427,32,5141,0,0,339.27,14775,1110,14773,0,2385,63,14190,0,0,99.98,33.5,0,0,1741107945,0,0,81665277,5,0,0,-1,8895,2,0,8982,2080505,316,14533,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -z -P explore -V 17280000 -- /out/ftfuzzer 2147483647
freetype2,yes,4,26553,435.57,84328493,great_jemison,great_jemison_fuzzer_stats,1740914420,1741108026,193606,11,5265,4,319,190555,24,3026,0,0,366.25,16020,1282,16018,0,2333,87,12764,0,0,99.98,36.93,0,0,1741107802,0,0,84328493,5,0,0,-1,9807,2,0,8308,2096030,361,15360,/out/ftfuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/ftfuzzer -z -P explore -V 17280000 -- /out/ftfuzzer 2147483647
jsoncpp,yes,0,5631,675.35,164015540,vigilant_thompson,vigilant_thompson_fuzzer_stats,1740865110,1741107969,242858,11,108183,2090,52998,242784,2,70,2,0,601.4,1544,79,1543,0,0,71,1171,0,0,100.0,21.93,0,0,1741102561,0,0,164015540,1000,0,0,-1,1235,0,0,11391,1790150,31,1512,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -z -P explore -V 17280000 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,1,5631,663.39,128387408,gracious_proskuriakova,gracious_proskuriakova_fuzzer_stats,1740914561,1741108092,193531,11,85501,488,29898,193460,2,66,1,0,669.82,1536,70,1535,0,0,63,1273,0,0,100.0,21.93,0,0,1741106834,0,0,128387408,1000,0,0,-1,1235,0,0,8129,2079201,31,1503,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -z -P explore -V 17280000 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,2,5631,717.22,138795176,stupefied_franklin,stupefied_franklin_fuzzer_stats,1740914568,1741108086,193517,12,93787,1549,16208,193442,2,71,2,0,725.88,1542,81,1541,0,0,86,1481,0,0,100.0,21.93,0,0,1741104320,0,0,138795176,1000,0,0,-1,1235,0,0,10028,1879994,44,1495,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -z -P explore -V 17280000 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,3,5631,753.2,145794003,gallant_goodall,gallant_goodall_fuzzer_stats,1740914570,1741108137,193567,11,98646,39,19654,193480,2,81,2,0,768.54,1547,83,1546,0,0,60,1277,0,0,100.0,21.93,0,0,1741108056,0,0,145794003,1000,0,0,-1,1235,0,0,13903,1984186,40,1506,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -z -P explore -V 17280000 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
jsoncpp,yes,4,5631,707.74,136992841,pedantic_rhodes,pedantic_rhodes_fuzzer_stats,1740914571,1741108136,193564,11,92916,3197,38857,193485,2,74,2,0,863.12,1507,87,1506,0,0,63,189,0,0,100.0,21.93,0,0,1741101164,0,0,136992841,1000,0,0,-1,1235,0,0,9232,2025209,46,1459,/out/jsoncpp_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/jsoncpp_fuzzer -z -P explore -V 17280000 -x /out/jsoncpp_fuzzer.dict -- /out/jsoncpp_fuzzer 2147483647
libjpeg,yes,0,21788,815.38,198089501,awesome_hertz,awesome_hertz_fuzzer_stats,1740865014,1741107955,242940,11,29219,1393,14269,236095,10,420,6414,0,684.82,6916,338,3850,0,0,59,6881,0,0,100.0,17.78,0,0,1741093685,0,0,198089501,9,0,0,-1,3874,0,0,866,428277,243,4479670,/out/libjpeg_turbo_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/libjpeg_turbo_fuzzer -z -P explore -V 17280000 -- /out/libjpeg_turbo_fuzzer 2147483647
libjpeg,yes,1,21788,840.56,162729114,serene_ride,serene_ride_fuzzer_stats,1740914519,1741108116,193596,11,24158,9,11162,187205,16,678,5696,0,1088.11,6866,327,3800,0,0,37,723,0,0,100.0,17.74,0,0,1741108053,0,0,162729114,10,0,0,-1,3865,0,0,791,420640,225,3896916,/out/libjpeg_turbo_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/libjpeg_turbo_fuzzer -z -P explore -V 17280000 -- /out/libjpeg_turbo_fuzzer 2147483647
libjpeg,yes,2,21788,768.08,148645752,nifty_mahavira,nifty_mahavira_fuzzer_stats,1740914551,1741108080,193528,11,22006,318,3716,186724,24,1569,5210,0,769.09,6969,333,3903,0,0,43,5758,0,0,100.0,17.7,0,0,1741105020,0,0,148645752,14,0,0,-1,3856,0,0,1030,441093,240,3402191,/out/libjpeg_turbo_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/libjpeg_turbo_fuzzer -z -P explore -V 17280000 -- /out/libjpeg_turbo_fuzzer 2147483647
libjpeg,yes,3,21788,850.09,164517110,ecstatic_kalam,ecstatic_kalam_fuzzer_stats,1740914554,1741108083,193528,11,24653,56,7421,187338,12,363,5814,0,856.66,6917,346,3851,0,0,42,3596,0,0,100.0,17.74,0,0,1741107585,0,0,164517110,12,0,0,-1,3866,0,0,817,503968,253,3667747,/out/libjpeg_turbo_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/libjpeg_turbo_fuzzer -z -P explore -V 17280000 -- /out/libjpeg_turbo_fuzzer 2147483647
libjpeg,yes,4,21788,795.49,153948866,inspiring_gagarin,inspiring_gagarin_fuzzer_stats,1740914557,1741108085,193528,11,22463,838,8505,187433,16,775,5302,0,824.73,7039,336,3973,0,0,42,5211,0,0,100.0,17.76,0,0,1741100102,0,0,153948866,13,0,0,-1,3870,0,0,637,403969,222,3654737,/out/libjpeg_turbo_fuzzer,++4.31a,persistent shmem_testcase deferred,./afl-fuzz -i /out/seeds -o /out/corpus -m 5000 -t 1000+ -d -x ./afl++.dict -c /out/cmplog/libjpeg_turbo_fuzzer -z -P explore -V 17280000 -- /out/libjpeg_turbo_fuzzer 2147483647
