time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
2, 1, 2, 1, 849, 849, 1, 849, 849, 1, 718.461538, 0.923077, 0.153846, 1.000000, 1.000000, 0, 1.000000, 1, 1, true
571, 2, 100, 1, 991, 245, 2, 888, 888, 1, 1.281538, 1.001154, 0.998846, 1.000000, 1.000000, 0, 1.000000, 1, 2, true
836, 3, 127, 2, 1007, 258, 3, 695, 695, 1, 9.657236, 1.510711, 0.992860, 1.000000, 1.000000, 0, 1.000000, 1, 3, true
1024, 4, 132, 2, 1009, 160, 4, 850, 850, 1, 5.272000, 2.014962, 0.992519, 1.000000, 1.000000, 0, 1.000000, 1, 4, true
1236, 5, 135, 2, 1014, 163, 4, 834, 834, 1, 5.232881, 2.518539, 0.992584, 1.000000, 1.000000, 0, 1.000000, 1, 5, true
1472, 6, 138, 3, 1020, 32, 5, 864, 864, 1, 23.284872, 3.031736, 0.989421, 1.000000, 1.000000, 0, 1.000000, 1, 6, true
1606, 7, 140, 3, 1023, 32, 6, 823, 823, 1, 26.895132, 3.535535, 0.989847, 1.000000, 1.000000, 0, 1.000000, 1, 7, true
1759, 8, 145, 3, 1031, 39, 7, 610, 610, 1, 30.613129, 4.040727, 0.989818, 1.000000, 1.000000, 0, 1.000000, 1, 8, true
2025, 9, 149, 3, 1041, 47, 8, 845, 845, 1, 33.065949, 4.544889, 0.990025, 1.000000, 1.000000, 0, 1.000000, 1, 9, true
2282, 11, 159, 3, 1045, 44, 10, 778, 195, 2, 37.776028, 5.550889, 0.990747, 1.000000, 1.000000, 0, 1.000000, 1, 9, true
2493, 12, 160, 3, 1051, 49, 11, 856, 856, 1, 41.174663, 6.055488, 0.990752, 1.000000, 1.000000, 0, 1.000000, 1, 9, true
2818, 14, 167, 4, 1052, 41, 11, 859, 859, 1, 78.541334, 7.085401, 0.987800, 1.000000, 1.000000, 0, 1.000000, 1, 12, true
3064, 15, 172, 5, 1060, 48, 12, 818, 818, 1, 121.434216, 7.611403, 0.985146, 1.000000, 1.000000, 0, 1.000000, 1, 13, true
3265, 16, 176, 6, 1061, 48, 13, 850, 850, 1, 163.192132, 8.137703, 0.982787, 1.000000, 1.000000, 0, 1.000000, 1, 14, true
3507, 17, 178, 6, 1063, 50, 14, 851, 851, 1, 173.513294, 8.646504, 0.982764, 1.000000, 1.000000, 0, 1.000000, 1, 15, true
3746, 18, 179, 7, 1067, 52, 14, 821, 821, 1, 221.056620, 9.178257, 0.980194, 1.000000, 1.000000, 0, 1.000000, 1, 16, true
4008, 19, 179, 7, 1068, 46, 15, 1000, 334, 2, 231.706575, 9.686774, 0.980340, 1.000000, 1.000000, 0, 1.000000, 1, 17, true
4235, 20, 183, 7, 1068, 46, 15, 748, 748, 1, 239.987780, 10.185289, 0.980667, 0.978022, 0.846154, 2, 1.000000, 1, 19, true
4486, 22, 185, 8, 1077, 52, 16, 760, 760, 1, 301.581685, 11.228680, 0.978474, 0.982143, 0.857143, 2, 1.000000, 1, 20, true
4763, 23, 193, 9, 1077, 52, 16, 852, 852, 1, 370.231050, 11.769310, 0.975870, 0.984127, 0.857143, 2, 1.000000, 1, 22, true
5272, 25, 206, 10, 1087, 57, 16, 830, 830, 1, 423.194661, 12.802195, 0.975202, 0.986667, 0.866667, 2, 1.000000, 1, 23, true
5602, 29, 213, 11, 1098, 55, 18, 825, 825, 1, 483.240492, 14.880665, 0.973208, 0.989305, 0.882353, 2, 1.000000, 1, 25, true
6084, 31, 217, 11, 1099, 51, 17, 852, 852, 1, 513.997528, 15.902294, 0.973565, 0.990431, 0.894737, 2, 1.000000, 1, 28, true
6431, 34, 234, 13, 1109, 55, 19, 673, 673, 1, 624.463061, 17.489034, 0.970803, 0.992308, 0.900000, 2, 1.000000, 1, 31, true
6867, 38, 266, 15, 1139, 56, 23, 697, 697, 1, 657.533693, 19.542700, 0.971068, 0.993333, 0.900000, 2, 1.000000, 1, 35, true
7259, 40, 273, 15, 1150, 66, 25, 672, 672, 1, 691.110941, 20.571507, 0.971073, 0.993651, 0.904762, 2, 1.000000, 1, 37, true
7625, 42, 307, 15, 1159, 71, 25, 824, 824, 1, 618.121660, 21.540606, 0.973801, 0.990909, 0.863636, 2, 1.000000, 1, 38, true
