time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
1, 1, 1, 1, 284, 284, 1, 284, 284, 1, 284.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0, 1.000000, 0, 0, true
3, 2, 1, 1, 284, 0, 0, 284, 0, 0, 0.500000, 0.500000, 0.000000, 0.250000, 0.250000, 0, 0.250000, 0, 1, true
4, 4, 1, 1, 694, 410, 1, 694, 410, 1, 410.000000, 1.000000, 0.000000, 0.250000, 0.250000, 0, 0.250000, 0, 3, true
322, 5, 4, 1, 696, 4, 2, 693, 693, 1, 3.765625, 2.078125, 0.156250, 0.400000, 0.400000, 0, 0.400000, 0, 4, true
368, 6, 4, 2, 700, 6, 2, 699, 13, 2, 848.888840, 3.494927, 0.602117, 0.700000, 0.400000, 0, 1.000000, 1, 5, true
438, 8, 5, 2, 706, 12, 3, 698, 415, 2, 18.914694, 4.711011, 0.491545, 0.666667, 0.333333, 0, 1.000000, 1, 6, true
510, 10, 7, 3, 706, 6, 2, 695, 695, 1, 309.632309, 4.382158, 0.455696, 0.555556, 0.333333, 0, 1.000000, 3, 10, true
596, 11, 8, 4, 707, 5, 2, 697, 697, 1, 595.580497, 5.029832, 0.436815, 0.666667, 0.333333, 0, 1.000000, 3, 9, true
693, 12, 9, 5, 708, 6, 3, 695, 695, 1, 1693.251449, 6.883156, 0.633452, 0.733333, 0.333333, 0, 1.000000, 3, 8, true
777, 13, 10, 5, 708, 5, 2, 697, 697, 1, 1581.329847, 7.169595, 0.560458, 0.733333, 0.333333, 0, 1.000000, 3, 10, true
866, 14, 10, 6, 709, 2, 2, 705, 19, 2, 2458.536819, 8.517657, 0.590474, 0.777778, 0.333333, 0, 1.000000, 3, 8, true
958, 16, 11, 6, 710, 2, 2, 697, 697, 1, 2046.047802, 9.907347, 0.553851, 0.777778, 0.333333, 0, 1.000000, 3, 5, true
1062, 21, 12, 7, 711, 1, 1, 693, 693, 1, 3946.405939, 11.971407, 0.397788, 0.588095, 0.200000, 6, 1.000000, 3, 4, true
1175, 22, 12, 8, 711, 0, 0, 698, 10, 2, 5790.521317, 13.507834, 0.284222, 0.639583, 0.200000, 6, 1.000000, 3, 4, true
1308, 27, 14, 8, 714, 3, 1, 691, 691, 1, 4652.079982, 15.856021, 0.277212, 0.632292, 0.125000, 8, 1.000000, 3, 6, true
1431, 28, 14, 9, 717, 5, 2, 696, 5, 1, 5533.599780, 17.290394, 0.289725, 0.673148, 0.125000, 8, 1.000000, 3, 0, true
1578, 29, 15, 10, 717, 2, 1, 696, 696, 1, 4902.634429, 17.397776, 0.416563, 0.705833, 0.125000, 8, 1.000000, 3, 0, true
1737, 51, 17, 10, 717, 2, 1, 693, 693, 1, 6017.770104, 25.492790, 0.301491, 0.556591, 0.083333, 0, 1.000000, 3, 13, true
1850, 52, 19, 11, 717, 2, 1, 692, 692, 1, 5407.736874, 25.143808, 0.370524, 0.596901, 0.083333, 0, 1.000000, 3, 13, true
1975, 54, 19, 12, 717, 2, 1, 702, 10, 2, 6310.018278, 27.445866, 0.310389, 0.567992, 0.083333, 0, 1.000000, 5, 14, true
2114, 73, 21, 12, 718, 2, 1, 693, 693, 1, 833.357597, 35.640618, 0.339661, 0.509229, 0.058824, 0, 1.000000, 5, 23, true
2252, 82, 22, 12, 718, 0, 0, 691, 691, 1, 888.447448, 34.361511, 0.309946, 0.451786, 0.055556, 0, 1.000000, 5, 31, true
2377, 83, 22, 13, 718, 0, 0, 704, 17, 2, 1592.902246, 37.309974, 0.332915, 0.493956, 0.055556, 0, 1.000000, 5, 32, true
2504, 89, 24, 13, 719, 0, 0, 693, 693, 1, 1615.773490, 39.412357, 0.328518, 0.500090, 0.055556, 0, 1.000000, 5, 38, true
2637, 90, 24, 14, 720, 1, 1, 699, 8, 2, 2234.878580, 42.492722, 0.431238, 0.535798, 0.055556, 0, 1.000000, 5, 29, true
2770, 97, 25, 14, 721, 0, 0, 707, 13, 3, 1718.400279, 45.137790, 0.373932, 0.485714, 0.055556, 0, 1.000000, 5, 36, true
3051, 102, 28, 15, 744, 6, 2, 605, 605, 1, 4629.951468, 52.213905, 0.501474, 0.527734, 0.055556, 0, 1.000000, 5, 36, true
3245, 141, 30, 15, 755, 6, 2, 707, 707, 1, 1079.615339, 60.525932, 0.480287, 0.422957, 0.045455, 0, 1.000000, 5, 69, true
3420, 155, 34, 15, 765, 16, 4, 693, 693, 1, 1066.185734, 66.450758, 0.475690, 0.444452, 0.047619, 8, 1.000000, 5, 71, true
3596, 156, 39, 16, 765, 16, 4, 691, 691, 1, 3829.879073, 67.262310, 0.461481, 0.479173, 0.047619, 8, 1.000000, 5, 73, true
3944, 158, 40, 17, 765, 16, 4, 693, 693, 1, 3983.554473, 76.755541, 0.559059, 0.509810, 0.047619, 8, 1.000000, 5, 76, true
4329, 160, 41, 18, 767, 16, 4, 706, 22, 2, 4973.066503, 82.173763, 0.557755, 0.537043, 0.047619, 8, 1.000000, 5, 75, true
4715, 162, 43, 19, 771, 11, 4, 610, 610, 1, 5671.582079, 82.222207, 0.517333, 0.561409, 0.047619, 8, 1.000000, 5, 70, true
5109, 164, 46, 20, 797, 36, 5, 697, 697, 1, 4836.049838, 83.353662, 0.588340, 0.583339, 0.047619, 8, 1.000000, 5, 63, true
5516, 166, 47, 22, 799, 36, 6, 717, 32, 2, 11649.928252, 90.605229, 0.566054, 0.621217, 0.047619, 8, 1.000000, 5, 56, true
5960, 168, 49, 24, 802, 39, 8, 609, 609, 1, 18913.316278, 93.052934, 0.505178, 0.652782, 0.047619, 8, 1.000000, 5, 50, true
6450, 171, 54, 25, 812, 38, 9, 693, 693, 1, 20141.658991, 93.081281, 0.473800, 0.672068, 0.047619, 8, 1.000000, 5, 43, true
6908, 173, 58, 27, 813, 39, 10, 700, 5, 2, 18385.663279, 99.126960, 0.616248, 0.696359, 0.047619, 8, 1.000000, 5, 37, true
7367, 175, 60, 27, 813, 29, 9, 697, 697, 1, 16072.537950, 100.122905, 0.620756, 0.696359, 0.047619, 8, 1.000000, 5, 37, true
7849, 189, 62, 27, 817, 25, 7, 698, 698, 1, 10060.031159, 106.386978, 0.605558, 0.666343, 0.047619, 8, 1.000000, 5, 27, true
8361, 192, 63, 29, 818, 26, 8, 703, 16, 2, 15412.975936, 112.978112, 0.581962, 0.686891, 0.047619, 8, 1.000000, 5, 26, true
8948, 197, 64, 31, 819, 25, 8, 711, 15, 2, 14260.117646, 113.691662, 0.565013, 0.682828, 0.045455, 8, 1.000000, 5, 29, true
9532, 205, 64, 32, 822, 23, 8, 744, 28, 7, 14699.482181, 119.797518, 0.528461, 0.678109, 0.045455, 8, 1.000000, 5, 25, true
10138, 225, 71, 33, 823, 7, 6, 691, 691, 1, 15268.397112, 127.786178, 0.485218, 0.677653, 0.045455, 8, 1.000000, 5, 29, true
10773, 263, 73, 34, 824, 4, 3, 779, 41, 12, 12857.325383, 144.311976, 0.544003, 0.612445, 0.045455, 8, 1.000000, 5, 41, true
11465, 318, 77, 35, 827, 5, 3, 693, 693, 1, 12351.071209, 169.111781, 0.530154, 0.562048, 0.045455, 8, 1.000000, 5, 66, true
12121, 332, 80, 36, 829, 4, 2, 769, 63, 6, 12550.748166, 178.085631, 0.551186, 0.565777, 0.045455, 8, 1.000000, 5, 65, true
13010, 368, 84, 38, 895, 70, 5, 665, 665, 1, 16503.107185, 200.034224, 0.538442, 0.567099, 0.045455, 8, 1.000000, 5, 64, true
13916, 404, 93, 39, 908, 12, 5, 698, 698, 1, 9307.252534, 217.473723, 0.515516, 0.570680, 0.045455, 8, 1.000000, 5, 70, true
14846, 424, 95, 42, 910, 8, 3, 702, 6, 2, 15832.200672, 240.588223, 0.559137, 0.604174, 0.045455, 8, 1.000000, 5, 66, true
15713, 444, 100, 45, 912, 6, 3, 696, 696, 1, 23693.891910, 255.414665, 0.543271, 0.606097, 0.045455, 8, 1.000000, 5, 60, true
16814, 515, 112, 46, 915, 1, 1, 750, 750, 1, 16026.820392, 269.107560, 0.512519, 0.567731, 0.043478, 8, 1.000000, 5, 79, true
17859, 551, 123, 51, 924, 8, 1, 697, 697, 1, 32504.755595, 299.837056, 0.531097, 0.601958, 0.038462, 6, 1.000000, 5, 88, true
18920, 554, 131, 52, 951, 27, 3, 828, 828, 1, 29444.179747, 299.745361, 0.574494, 0.609613, 0.038462, 6, 1.000000, 5, 45, true
20090, 564, 135, 55, 951, 5, 2, 772, 36, 7, 33301.535268, 315.717961, 0.595129, 0.629573, 0.038462, 6, 1.000000, 5, 48, true
21314, 679, 143, 59, 976, 5, 1, 762, 32, 3, 33857.890408, 385.718731, 0.527682, 0.608908, 0.043478, 8, 1.000000, 5, 58, true
22475, 684, 150, 61, 976, 5, 1, 722, 13, 2, 28215.955472, 384.537786, 0.564035, 0.620712, 0.043478, 8, 1.000000, 5, 58, true
23666, 702, 150, 61, 977, 6, 2, 871, 55, 10, 19958.022480, 394.005548, 0.548099, 0.613290, 0.041667, 8, 1.000000, 5, 50, true
24890, 1080, 175, 78, 988, 2, 2, 734, 734, 1, 72230.188199, 595.052348, 0.510979, 0.598040, 0.040000, 16, 1.000000, 5, 105, true
26165, 1572, 221, 94, 1060, 9, 3, 762, 762, 1, 77816.106369, 835.863168, 0.530966, 0.592967, 0.041667, 8, 1.000000, 5, 111, true
27477, 2207, 269, 109, 1069, 0, 0, 743, 743, 1, 82801.948879, 1156.174007, 0.541331, 0.554050, 0.041667, 8, 1.000000, 5, 258, true
28865, 2718, 296, 123, 1090, 1, 1, 748, 748, 1, 100954.792553, 1393.519896, 0.532437, 0.535717, 0.041667, 8, 1.000000, 35, 353, true
30311, 3477, 317, 133, 1107, 5, 2, 759, 50, 2, 120191.891510, 1704.603517, 0.520083, 0.483611, 0.041667, 8, 1.000000, 61, 435, true
31831, 4292, 345, 142, 1120, 0, 0, 765, 176, 2, 154004.600449, 2040.829597, 0.534070, 0.448689, 0.040000, 8, 1.000000, 61, 428, true
33423, 5431, 366, 156, 1121, 0, 0, 1075, 37, 18, 226843.195790, 2597.126667, 0.505542, 0.440852, 0.038462, 8, 1.000000, 61, 866, true
