time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
1, 1, 3066, 1, 186, 186, 1, 186, 186, 1, 0.551352, 0.500138, 0.999723, 1.000000, 1.000000, 0, 1.000000, 360, 1, true
38, 2, 3066, 2, 194, 42, 2, 194, 42, 2, 1.217734, 1.000664, 0.999336, 1.000000, 1.000000, 0, 1.000000, 360, 2, true
41, 3, 3066, 3, 783, 594, 3, 783, 594, 3, 3.295152, 1.501555, 0.998964, 1.000000, 1.000000, 0, 1.000000, 360, 2, true
45, 4, 3067, 4, 785, 593, 4, 148, 148, 1, 3.418351, 2.002336, 0.998832, 1.000000, 1.000000, 0, 1.000000, 360, 3, true
49, 6, 3067, 6, 977, 446, 5, 725, 539, 3, 7.580879, 3.004924, 0.998359, 1.000000, 1.000000, 0, 1.000000, 360, 5, true
53, 9, 3067, 9, 1098, 482, 7, 855, 361, 5, 13.447898, 4.510288, 0.997714, 1.000000, 1.000000, 0, 1.000000, 360, 8, true
60, 10, 3068, 10, 1098, 482, 7, 149, 149, 1, 12.636110, 5.011497, 0.997701, 1.000000, 1.000000, 0, 1.000000, 360, 10, true
64, 12, 3068, 12, 1389, 653, 9, 942, 584, 3, 21.885421, 6.017774, 0.997038, 1.000000, 1.000000, 0, 1.000000, 360, 11, true
72, 13, 3069, 13, 1430, 577, 10, 776, 776, 1, 25.747524, 6.519877, 0.996942, 1.000000, 1.000000, 0, 1.000000, 360, 11, true
78, 17, 3069, 17, 1559, 611, 14, 1105, 519, 5, 39.718000, 8.534360, 0.995958, 1.000000, 1.000000, 0, 1.000000, 360, 12, true
86, 18, 3070, 18, 1577, 574, 14, 591, 591, 1, 43.972318, 9.038076, 0.995769, 1.000000, 1.000000, 0, 1.000000, 360, 13, true
91, 20, 3071, 20, 1586, 581, 14, 259, 170, 2, 44.676009, 10.042383, 0.995762, 1.000000, 1.000000, 0, 1.000000, 360, 15, true
98, 22, 3072, 22, 1611, 535, 16, 601, 601, 1, 62.646492, 11.056287, 0.994883, 1.000000, 1.000000, 0, 1.000000, 360, 17, true
103, 23, 3073, 23, 1629, 435, 17, 614, 614, 1, 68.591369, 11.561272, 0.994672, 1.000000, 1.000000, 0, 1.000000, 360, 18, true
111, 24, 3074, 23, 1629, 421, 16, 582, 582, 1, 60.698156, 12.054911, 0.995191, 0.978261, 0.500000, 716, 1.000000, 360, 20, true
120, 26, 3075, 25, 1632, 418, 17, 170, 170, 1, 71.364320, 13.069465, 0.994423, 0.980000, 0.500000, 716, 1.000000, 360, 22, true
126, 28, 3076, 27, 1660, 441, 18, 200, 200, 1, 78.922119, 14.079755, 0.994070, 0.981481, 0.500000, 716, 1.000000, 360, 23, true
136, 33, 3076, 32, 1724, 473, 20, 841, 364, 6, 115.705435, 16.617496, 0.992645, 0.984375, 0.500000, 716, 1.000000, 360, 27, true
143, 39, 3076, 38, 1824, 491, 26, 1142, 497, 12, 152.847659, 19.662333, 0.991441, 0.986842, 0.500000, 716, 1.000000, 360, 29, true
151, 48, 3077, 47, 1959, 520, 32, 983, 291, 6, 211.409105, 24.231449, 0.990122, 0.989362, 0.500000, 716, 1.000000, 360, 31, true
159, 55, 3077, 53, 1972, 516, 33, 1239, 279, 12, 262.147486, 27.795598, 0.988679, 0.976415, 0.250000, 1182, 1.000000, 360, 34, true
168, 57, 3078, 55, 1989, 531, 35, 661, 519, 2, 281.633414, 28.816145, 0.988335, 0.977273, 0.250000, 1182, 1.000000, 360, 33, true
178, 63, 3079, 61, 2044, 533, 39, 182, 182, 1, 324.665951, 31.872598, 0.987597, 0.979508, 0.250000, 1182, 1.000000, 360, 32, true
