time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
0, 1, 1, 1, 4, 4, 1, 4, 4, 1, 4.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0, 1.000000, 0, 0, true
1, 2, 1, 1, 4, 0, 0, 4, 0, 0, 0.500000, 0.500000, 0.000000, 0.250000, 0.250000, 0, 0.250000, 0, 0, true
3, 7, 1, 1, 17, 13, 1, 17, 13, 1, 13.000000, 1.000000, 0.000000, 0.142857, 0.142857, 0, 0.142857, 0, 0, true
4, 8, 2, 1, 17, 13, 1, 4, 4, 1, 6.838174, 3.053942, 0.684647, 0.125000, 0.125000, 0, 0.125000, 0, 0, true
5, 9, 2, 1, 17, 13, 1, 4, 0, 0, 9.049296, 2.626761, 0.464789, 0.111111, 0.111111, 0, 0.111111, 0, 0, true
6, 19, 2, 1, 17, 0, 0, 17, 0, 0, 4.899732, 4.899732, 0.464789, 0.047619, 0.047619, 0, 0.047619, 0, 0, true
7, 26, 2, 1, 17, 0, 0, 17, 0, 0, 6.539235, 6.539235, 0.464789, 0.035714, 0.035714, 0, 0.035714, 0, 8, true
8, 43, 2, 1, 17, 0, 0, 17, 0, 0, 10.504382, 10.504382, 0.464789, 0.022222, 0.022222, 0, 0.022222, 0, 38, true
395, 45, 11, 2, 23, 0, 0, 21, 21, 1, 58.702412, 6.262871, 0.134128, 0.511364, 0.022727, 0, 1.000000, 1, 27, true
497, 46, 18, 3, 24, 1, 1, 21, 21, 1, 125.642588, 15.956669, 0.440216, 0.674242, 0.022727, 0, 1.000000, 1, 25, true
625, 47, 23, 3, 25, 2, 2, 21, 21, 1, 37.347339, 19.562197, 0.777605, 0.674242, 0.022727, 0, 1.000000, 1, 24, true
710, 48, 23, 4, 25, 2, 2, 22, 19, 2, 45.375352, 24.730339, 0.912010, 0.755682, 0.022727, 0, 1.000000, 1, 26, true
780, 49, 24, 4, 25, 2, 2, 21, 21, 1, 47.726927, 24.289276, 0.868201, 0.755682, 0.022727, 0, 1.000000, 1, 27, true
838, 50, 24, 4, 30, 7, 3, 26, 9, 2, 49.780808, 25.854186, 0.901206, 0.755682, 0.022727, 0, 1.000000, 1, 27, true
929, 51, 24, 5, 31, 8, 4, 27, 7, 3, 107.116830, 27.765299, 0.841497, 0.804545, 0.022727, 0, 1.000000, 1, 27, true
1039, 52, 25, 5, 31, 8, 4, 21, 21, 1, 111.187042, 27.220222, 0.794964, 0.704545, 0.022727, 0, 1.000000, 1, 28, true
1121, 53, 25, 5, 32, 9, 5, 22, 2, 2, 56.279990, 28.724044, 0.837266, 0.704545, 0.022727, 0, 1.000000, 1, 25, true
1181, 54, 25, 5, 32, 8, 4, 23, 3, 3, 57.893991, 27.373879, 0.823098, 0.571212, 0.022727, 0, 1.000000, 1, 26, true
1246, 55, 26, 5, 33, 9, 5, 21, 21, 1, 57.430725, 26.904958, 0.788705, 0.591212, 0.022727, 0, 1.000000, 1, 24, true
1333, 56, 26, 6, 33, 9, 5, 22, 19, 2, 69.613040, 29.973823, 0.774575, 0.659343, 0.022727, 0, 1.000000, 1, 25, true
1456, 57, 27, 6, 39, 13, 6, 25, 25, 1, 78.074059, 29.603421, 0.726101, 0.659343, 0.022727, 0, 1.000000, 1, 24, true
1599, 59, 31, 6, 41, 11, 8, 21, 21, 1, 69.810752, 28.615012, 0.706584, 0.670455, 0.022727, 0, 1.000000, 1, 22, true
1700, 60, 31, 7, 42, 12, 9, 23, 4, 2, 127.952194, 33.169908, 0.766472, 0.717532, 0.022727, 0, 1.000000, 1, 19, true
1858, 62, 31, 9, 45, 15, 10, 27, 7, 4, 154.612210, 35.108051, 0.729146, 0.780303, 0.022727, 0, 1.000000, 1, 19, true
1969, 64, 33, 10, 46, 16, 11, 21, 21, 1, 212.063678, 36.501636, 0.669446, 0.792749, 0.022727, 0, 1.000000, 1, 20, true
2122, 67, 33, 13, 48, 17, 13, 29, 8, 2, 255.739358, 39.966817, 0.674839, 0.840576, 0.022727, 0, 1.000000, 1, 17, true
