time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
1, 1, 156, 1, 481, 481, 1, 481, 481, 1, 5.009908, 0.504693, 0.990614, 1.000000, 1.000000, 0, 1.000000, 136, 1, true
6, 2, 157, 2, 545, 209, 2, 400, 400, 1, 10.151969, 1.010885, 0.989115, 1.000000, 1.000000, 0, 1.000000, 136, 2, true
7, 3, 158, 3, 549, 155, 3, 398, 398, 1, 18.549989, 1.520551, 0.986299, 1.000000, 1.000000, 0, 1.000000, 136, 3, true
9, 4, 159, 4, 677, 226, 4, 531, 531, 1, 34.124696, 2.033269, 0.983365, 1.000000, 1.000000, 0, 1.000000, 136, 4, true
11, 5, 159, 5, 858, 306, 5, 815, 393, 2, 66.626812, 2.555321, 0.977872, 1.000000, 1.000000, 0, 1.000000, 136, 5, true
14, 6, 160, 6, 886, 324, 6, 497, 497, 1, 77.375358, 3.072429, 0.975857, 1.000000, 1.000000, 0, 1.000000, 136, 5, true
377, 7, 197, 6, 886, 296, 5, 497, 497, 1, 48.982758, 3.539650, 0.985407, 0.875000, 0.250000, 101, 1.000000, 136, 6, true
433, 10, 200, 9, 906, 273, 8, 211, 211, 1, 76.143163, 5.080258, 0.980897, 0.916667, 0.250000, 101, 1.000000, 136, 7, true
485, 12, 201, 10, 940, 287, 10, 254, 254, 1, 101.430931, 6.112094, 0.978274, 0.925000, 0.250000, 101, 1.000000, 136, 8, true
542, 14, 202, 11, 941, 222, 11, 211, 211, 1, 135.629160, 7.148078, 0.975799, 0.931818, 0.250000, 101, 1.000000, 136, 10, true
619, 15, 206, 11, 941, 222, 11, 381, 381, 1, 143.928686, 7.656119, 0.976186, 0.931818, 0.250000, 101, 1.000000, 136, 11, true
671, 16, 206, 12, 942, 221, 11, 394, 196, 2, 160.708452, 8.185153, 0.973884, 0.937500, 0.250000, 101, 1.000000, 136, 11, true
724, 17, 207, 12, 942, 220, 10, 75, 75, 1, 170.352168, 8.696554, 0.973907, 0.937500, 0.250000, 101, 1.000000, 136, 13, true
785, 20, 209, 14, 958, 197, 13, 254, 254, 1, 236.626008, 10.278388, 0.969189, 0.946429, 0.250000, 101, 1.000000, 136, 14, true
848, 22, 211, 15, 959, 92, 14, 231, 231, 1, 231.184655, 11.303273, 0.966844, 0.916667, 0.250000, 101, 1.000000, 136, 15, true
913, 29, 216, 20, 1003, 89, 18, 390, 189, 2, 415.551055, 15.056514, 0.956041, 0.937500, 0.250000, 101, 1.000000, 136, 18, true
989, 31, 218, 20, 1003, 88, 17, 459, 459, 1, 437.462511, 16.085292, 0.956107, 0.900000, 0.250000, 136, 1.000000, 128, 20, true
1059, 34, 219, 22, 1009, 91, 20, 244, 244, 1, 523.022483, 17.731129, 0.950824, 0.909091, 0.250000, 136, 1.000000, 128, 16, true
1154, 35, 224, 22, 1009, 87, 18, 256, 256, 1, 526.334055, 18.228493, 0.951959, 0.904545, 0.250000, 136, 1.000000, 128, 18, true
1222, 36, 224, 23, 1011, 89, 19, 265, 36, 2, 562.512393, 18.796862, 0.949344, 0.908696, 0.250000, 136, 1.000000, 128, 18, true
1293, 39, 224, 26, 1012, 85, 19, 426, 181, 5, 682.671732, 20.517446, 0.941365, 0.919231, 0.250000, 136, 1.000000, 128, 20, true
1411, 41, 226, 27, 1013, 84, 19, 244, 244, 1, 742.710195, 21.622324, 0.938837, 0.922559, 0.250000, 136, 1.000000, 128, 22, true
1492, 43, 244, 28, 1013, 78, 18, 460, 460, 1, 718.412915, 22.644345, 0.940679, 0.925325, 0.250000, 136, 1.000000, 128, 24, true
1624, 46, 246, 31, 1015, 78, 18, 200, 200, 1, 844.975816, 24.280390, 0.936031, 0.932551, 0.250000, 136, 1.000000, 128, 25, true
1742, 48, 247, 32, 1016, 79, 19, 267, 42, 2, 899.706213, 25.398270, 0.933017, 0.934659, 0.250000, 136, 1.000000, 128, 25, true
1872, 50, 248, 32, 1016, 77, 18, 240, 55, 2, 911.628828, 26.343565, 0.932902, 0.900805, 0.250000, 136, 1.000000, 128, 27, true
1968, 51, 269, 32, 1016, 77, 18, 75, 75, 1, 861.692021, 26.774849, 0.937928, 0.903409, 0.250000, 136, 1.000000, 128, 29, true
2114, 53, 275, 33, 1019, 80, 19, 265, 265, 1, 893.563519, 27.829914, 0.938355, 0.907851, 0.250000, 136, 1.000000, 128, 31, true
2266, 55, 278, 34, 1021, 82, 21, 254, 254, 1, 922.888822, 28.929145, 0.936643, 0.910561, 0.250000, 136, 1.000000, 128, 32, true
2439, 58, 282, 35, 1029, 86, 22, 202, 202, 1, 978.373536, 30.548469, 0.935337, 0.913117, 0.250000, 136, 1.000000, 128, 32, true
2600, 60, 286, 35, 1030, 87, 23, 258, 184, 2, 981.795219, 31.557308, 0.936039, 0.904545, 0.250000, 136, 1.000000, 128, 35, true
2751, 63, 289, 36, 1033, 90, 24, 75, 75, 1, 1064.612782, 33.198654, 0.934278, 0.909181, 0.250000, 136, 1.000000, 128, 38, true
2934, 65, 290, 37, 1033, 90, 24, 75, 0, 0, 1086.026760, 34.314522, 0.932380, 0.911636, 0.250000, 136, 1.000000, 128, 40, true
3088, 69, 291, 40, 1045, 90, 26, 225, 225, 1, 1315.375427, 36.636082, 0.926370, 0.919602, 0.250000, 136, 1.000000, 128, 42, true
3245, 71, 291, 41, 1047, 92, 28, 264, 40, 3, 1362.689632, 37.778800, 0.924036, 0.921563, 0.250000, 136, 1.000000, 128, 43, true
