time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
7, 1, 307, 1, 1328, 1328, 1, 1328, 1328, 1, 7.850338, 0.502768, 0.994463, 1.000000, 1.000000, 0, 1.000000, 207, 1, true
25, 2, 308, 2, 1435, 770, 2, 772, 772, 1, 9.892041, 1.004568, 0.995432, 1.000000, 1.000000, 0, 1.000000, 207, 2, true
30, 3, 309, 3, 1550, 766, 3, 824, 824, 1, 25.490585, 1.513076, 0.991283, 1.000000, 1.000000, 0, 1.000000, 207, 3, true
36, 4, 310, 4, 1888, 939, 4, 1174, 1174, 1, 51.101822, 2.022645, 0.988678, 1.000000, 1.000000, 0, 1.000000, 207, 4, true
42, 5, 311, 5, 1914, 921, 5, 757, 757, 1, 60.734987, 2.532118, 0.987153, 1.000000, 1.000000, 0, 1.000000, 207, 5, true
45, 6, 311, 6, 1954, 948, 6, 842, 210, 2, 69.785778, 3.036930, 0.987690, 1.000000, 1.000000, 0, 1.000000, 207, 5, true
50, 7, 312, 7, 2176, 1147, 7, 767, 767, 1, 88.153795, 3.547092, 0.986545, 1.000000, 1.000000, 0, 1.000000, 207, 6, true
55, 8, 313, 8, 2310, 1151, 8, 1075, 1075, 1, 114.937166, 4.058417, 0.985396, 1.000000, 1.000000, 0, 1.000000, 207, 7, true
62, 9, 314, 9, 2408, 1156, 9, 1004, 1004, 1, 164.832720, 4.583975, 0.981339, 1.000000, 1.000000, 0, 1.000000, 207, 8, true
67, 10, 315, 10, 2510, 1220, 10, 786, 786, 1, 170.971962, 5.090390, 0.981922, 1.000000, 1.000000, 0, 1.000000, 207, 9, true
1096, 11, 384, 10, 2510, 1150, 9, 825, 825, 1, 125.915157, 5.563361, 0.986572, 0.950000, 0.500000, 297, 1.000000, 207, 11, true
1175, 12, 398, 11, 2521, 1150, 10, 660, 660, 1, 125.531065, 6.065097, 0.987552, 0.954545, 0.500000, 297, 1.000000, 207, 12, true
1238, 13, 403, 11, 2523, 1146, 11, 771, 771, 1, 119.634479, 6.565839, 0.988322, 0.954545, 0.500000, 297, 1.000000, 207, 13, true
1392, 16, 417, 13, 2958, 1220, 14, 779, 779, 1, 217.097866, 8.106719, 0.985145, 0.961538, 0.500000, 297, 1.000000, 207, 16, true
1512, 18, 434, 14, 3921, 1614, 16, 687, 687, 1, 324.238729, 9.130827, 0.984020, 0.964286, 0.500000, 297, 1.000000, 207, 18, true
1977, 19, 514, 14, 3932, 1610, 17, 832, 832, 1, 268.370136, 9.615581, 0.986625, 0.964286, 0.500000, 297, 1.000000, 207, 19, true
2218, 20, 515, 15, 3968, 1613, 18, 1141, 1141, 1, 327.569645, 10.142328, 0.984633, 0.966667, 0.500000, 297, 1.000000, 207, 20, true
3106, 21, 523, 16, 3973, 1613, 18, 688, 688, 1, 303.335071, 10.635082, 0.986016, 0.968750, 0.500000, 297, 1.000000, 207, 21, true
3283, 22, 529, 16, 3988, 1608, 19, 723, 723, 1, 313.061156, 11.139346, 0.986227, 0.968750, 0.500000, 297, 1.000000, 207, 21, true
3586, 27, 552, 20, 4053, 1525, 24, 1094, 1094, 1, 466.335277, 13.720085, 0.982646, 0.975000, 0.500000, 297, 1.000000, 207, 26, true
3794, 32, 573, 22, 4085, 1528, 29, 694, 694, 1, 511.773895, 16.259720, 0.982753, 0.977273, 0.500000, 297, 1.000000, 207, 31, true
4004, 34, 589, 23, 4091, 1513, 31, 960, 960, 1, 554.820772, 17.281702, 0.982440, 0.978261, 0.500000, 297, 1.000000, 207, 33, true
4216, 36, 592, 24, 4111, 1430, 33, 684, 684, 1, 633.857340, 18.308251, 0.981871, 0.979167, 0.500000, 297, 1.000000, 207, 35, true
4485, 42, 621, 28, 4163, 1416, 35, 935, 935, 1, 790.671093, 21.399678, 0.980007, 0.982143, 0.500000, 297, 1.000000, 207, 36, true
4978, 47, 638, 32, 4193, 1330, 38, 779, 779, 1, 1019.802981, 24.002777, 0.977554, 0.981771, 0.500000, 297, 1.000000, 207, 39, true
5301, 49, 674, 32, 4196, 1315, 40, 762, 762, 1, 981.303092, 24.997883, 0.978696, 0.981971, 0.500000, 297, 1.000000, 207, 41, true
5687, 53, 686, 33, 4201, 1305, 40, 669, 669, 1, 1052.382280, 27.067689, 0.977621, 0.982517, 0.500000, 297, 1.000000, 207, 45, true
