time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
3, 1, 1263, 1, 1060, 1060, 1, 1060, 1060, 1, 1.643344, 0.500540, 0.998921, 1.000000, 1.000000, 0, 1.000000, 437, 1, true
22, 2, 1263, 2, 1073, 17, 2, 1073, 17, 2, 3.823369, 1.001325, 0.998675, 1.000000, 1.000000, 0, 1.000000, 437, 2, true
24, 3, 1263, 3, 1075, 15, 3, 1075, 15, 3, 6.594681, 1.502400, 0.998400, 1.000000, 1.000000, 0, 1.000000, 437, 2, true
27, 5, 1263, 5, 1077, 7, 3, 1077, 7, 3, 15.475204, 2.506105, 0.997558, 1.000000, 1.000000, 0, 1.000000, 437, 5, true
29, 6, 1263, 6, 1091, 20, 4, 1091, 20, 4, 18.576270, 3.007342, 0.997553, 1.000000, 1.000000, 0, 1.000000, 437, 6, true
38, 7, 1263, 7, 4099, 3025, 5, 4099, 3025, 5, 54.568467, 3.511789, 0.996632, 1.000000, 1.000000, 0, 1.000000, 437, 7, true
41, 8, 1263, 8, 4100, 3021, 5, 4100, 3021, 5, 45.110582, 4.013744, 0.996564, 1.000000, 1.000000, 0, 1.000000, 437, 7, true
59, 9, 1264, 9, 5695, 1996, 5, 5266, 5266, 1, 98.894052, 4.517889, 0.996025, 1.000000, 1.000000, 0, 1.000000, 437, 7, true
115, 10, 1265, 10, 5697, 1997, 5, 1066, 1066, 1, 82.449380, 5.020482, 0.995904, 1.000000, 1.000000, 0, 1.000000, 437, 6, true
128, 12, 1265, 12, 5806, 511, 6, 5401, 4338, 3, 165.297266, 6.029464, 0.995089, 1.000000, 1.000000, 0, 1.000000, 437, 6, true
165, 13, 1266, 13, 5833, 504, 7, 2340, 2340, 1, 152.917212, 6.531803, 0.995107, 1.000000, 1.000000, 0, 1.000000, 437, 3, true
175, 17, 1267, 17, 5833, 497, 5, 1080, 13, 3, 217.674220, 8.553620, 0.993692, 1.000000, 1.000000, 0, 1.000000, 437, 3, true
184, 23, 1267, 23, 5837, 501, 8, 1086, 9, 4, 352.489748, 11.599661, 0.991334, 1.000000, 1.000000, 0, 1.000000, 437, 1, true
199, 26, 1268, 25, 5837, 398, 8, 5392, 4355, 2, 336.363932, 13.111994, 0.991385, 1.000000, 1.000000, 0, 1.000000, 437, 2, true
226, 27, 1269, 25, 5837, 393, 7, 5266, 5266, 1, 283.222238, 13.615818, 0.991421, 1.000000, 1.000000, 0, 1.000000, 437, 2, true
238, 35, 1269, 32, 5837, 392, 7, 5300, 4221, 5, 456.810122, 17.692258, 0.988577, 0.984375, 0.500000, 186, 1.000000, 437, 3, true
251, 41, 1269, 38, 5838, 393, 8, 5302, 4220, 4, 626.014115, 20.767736, 0.986502, 0.986842, 0.500000, 186, 1.000000, 437, 5, true
264, 47, 1271, 44, 5838, 393, 8, 1076, 29, 2, 824.920564, 23.857996, 0.984328, 0.988636, 0.500000, 186, 1.000000, 437, 9, true
279, 56, 1273, 53, 5839, 391, 7, 1047, 1047, 1, 1172.184845, 28.515638, 0.981145, 0.990566, 0.500000, 186, 1.000000, 437, 14, true
294, 65, 1274, 62, 5839, 390, 6, 1064, 1064, 1, 1595.736654, 33.208907, 0.977746, 0.991935, 0.500000, 186, 1.000000, 437, 19, true
815, 71, 1307, 66, 5839, 364, 5, 2341, 2341, 1, 1701.816551, 36.275111, 0.977411, 0.984848, 0.500000, 186, 1.000000, 437, 20, true
988, 75, 1310, 70, 5840, 364, 5, 2320, 2320, 1, 1889.639538, 38.349954, 0.976573, 0.985714, 0.500000, 186, 1.000000, 437, 21, true
1170, 77, 1319, 71, 5840, 363, 4, 2336, 2336, 1, 1930.004424, 39.382817, 0.976312, 0.985915, 0.500000, 186, 1.000000, 437, 21, true
1245, 80, 1320, 73, 5841, 364, 5, 1043, 1043, 1, 2038.092548, 40.932705, 0.975923, 0.986301, 0.500000, 186, 1.000000, 437, 20, true
