time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
0, 1, 1, 1, 51, 51, 1, 51, 51, 1, 51.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0, 1.000000, 0, 0, true
1, 2, 1, 1, 51, 0, 0, 51, 0, 0, 0.500000, 0.500000, 0.000000, 0.250000, 0.250000, 0, 0.250000, 0, 0, true
2, 6, 2, 1, 52, 1, 1, 51, 51, 1, 2.864407, 2.864407, 0.932203, 0.166667, 0.166667, 0, 0.166667, 0, 3, true
3, 10, 3, 1, 60, 1, 1, 53, 53, 1, 4.175258, 4.175258, 0.793814, 0.100000, 0.100000, 0, 0.100000, 0, 0, true
4, 20, 3, 1, 60, 0, 0, 60, 0, 0, 7.159091, 7.159091, 0.687500, 0.045455, 0.045455, 0, 0.045455, 0, 0, true
5, 30, 3, 1, 60, 0, 0, 60, 0, 0, 10.605469, 10.605469, 0.687500, 0.031250, 0.031250, 0, 0.031250, 0, 0, true
6, 40, 3, 1, 60, 0, 0, 60, 0, 0, 14.047619, 14.047619, 0.687500, 0.023810, 0.023810, 0, 0.023810, 0, 0, true
7, 49, 3, 1, 60, 0, 0, 60, 0, 0, 17.143995, 17.143995, 0.687500, 0.019608, 0.019608, 0, 0.019608, 0, 0, true
8, 58, 3, 1, 60, 0, 0, 60, 0, 0, 20.239583, 20.239583, 0.687500, 0.016667, 0.016667, 0, 0.016667, 0, 0, true
9, 68, 3, 1, 60, 0, 0, 60, 0, 0, 23.678571, 23.678571, 0.687500, 0.014286, 0.014286, 0, 0.014286, 0, 0, true
10, 72, 3, 1, 60, 0, 0, 60, 0, 0, 25.054054, 25.054054, 0.687500, 0.013514, 0.013514, 0, 0.013514, 0, 0, true
11, 78, 3, 1, 60, 0, 0, 60, 0, 0, 27.117188, 27.117188, 0.687500, 0.012500, 0.012500, 0, 0.012500, 0, 0, true
12, 86, 3, 1, 60, 0, 0, 60, 0, 0, 29.867898, 29.867898, 0.687500, 0.011364, 0.011364, 0, 0.011364, 0, 0, true
13, 94, 3, 1, 60, 0, 0, 60, 0, 0, 32.618490, 32.618490, 0.687500, 0.010417, 0.010417, 0, 0.010417, 0, 0, true
14, 99, 3, 1, 60, 0, 0, 60, 0, 0, 34.337562, 34.337562, 0.687500, 0.009901, 0.009901, 0, 0.009901, 0, 0, true
15, 105, 3, 1, 60, 0, 0, 60, 0, 0, 36.400409, 36.400409, 0.687500, 0.009346, 0.009346, 0, 0.009346, 0, 0, true
